0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.109506537081837774e+00 -2.790853383010189148e+00 3.070369928404604459e-02
1.110628000070090771e+00 -2.698503886468357038e+00 4.531136989218392114e-02
7.384482798790934499e-01 -2.803666736681543981e+00 1.127928046996684724e-01
1.067719922211028738e+00 -2.402682743772912577e+00 1.336834339547915418e-01
1.326887732985528423e+00 -2.591287622676187397e+00 3.086766836488205601e-02
1.111537513835983315e+00 -2.595139168722514711e+00 8.041471099895454444e-02
1.554091014663786963e+00 -2.476003064015359190e+00 1.494872360050783222e-01
1.590523324765516389e+00 -2.593791292983656849e+00 9.490914470924927127e-02
1.218846693890278887e+00 -1.701112416196861599e+00 1.196118274222435079e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
