MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,15.000,0.000,55.102,0.002,55.114,0.002,54.976,0.001,55.002,0.001,28.180,0.006,28.174,0.006,28.174,0.006,28.174,0.006,26.093,0.020,26.833,0.020,25.967,0.020,26.011,0.020,26.115,0.020,28.703,0.027,23.769,0.040,27.736,0.333
999,15.000,0.000,55.100,0.002,55.116,0.002,54.972,0.001,55.000,0.001,28.178,0.006,28.174,0.006,28.174,0.006,28.174,0.006,26.094,0.020,26.834,0.020,25.968,0.020,26.011,0.020,26.117,0.020,28.703,0.027,23.692,0.040,27.740,0.339
2000,15.000,0.000,55.100,0.002,55.118,0.002,54.974,0.001,55.002,0.001,28.180,0.006,28.174,0.006,28.174,0.006,28.174,0.006,26.093,0.020,26.834,0.020,25.968,0.020,26.012,0.020,26.117,0.020,28.703,0.027,23.770,0.041,27.754,0.345
3000,15.000,0.000,55.102,0.002,55.118,0.002,54.976,0.001,55.002,0.001,28.180,0.006,28.174,0.006,28.174,0.006,28.174,0.006,26.094,0.020,26.835,0.020,25.969,0.020,26.013,0.020,26.117,0.020,28.703,0.027,23.762,0.041,27.775,0.349
4000,15.001,0.000,55.104,0.002,55.116,0.002,54.974,0.001,55.002,0.001,28.180,0.006,28.174,0.006,28.174,0.006,28.176,0.006,26.094,0.020,26.835,0.020,25.969,0.020,26.014,0.020,26.119,0.020,28.703,0.027,23.756,0.042,27.799,0.353
5000,15.001,0.000,55.102,0.002,55.116,0.002,54.976,0.001,55.002,0.001,28.180,0.006,28.174,0.006,28.174,0.006,28.174,0.006,26.094,0.020,26.836,0.020,25.969,0.020,26.013,0.020,26.118,0.020,28.704,0.027,23.755,0.042,27.827,0.356
6000,15.001,0.000,55.104,0.002,55.114,0.002,54.974,0.001,55.002,0.001,28.180,0.006,28.174,0.006,28.176,0.006,28.176,0.006,26.096,0.020,26.837,0.020,25.970,0.020,26.015,0.020,26.119,0.020,28.704,0.027,23.728,0.041,27.845,0.359
7000,15.000,0.000,55.102,0.002,55.118,0.002,54.976,0.001,55.002,0.001,28.180,0.006,28.174,0.006,28.176,0.006,28.176,0.006,26.096,0.020,26.836,0.020,25.970,0.020,26.015,0.020,26.119,0.020,28.705,0.027,23.717,0.041,27.861,0.361
8000,15.000,0.000,55.102,0.002,55.118,0.002,54.974,0.001,55.002,0.001,28.180,0.006,28.176,0.006,28.176,0.006,28.176,0.006,26.096,0.020,26.837,0.020,25.971,0.020,26.016,0.020,26.120,0.020,28.706,0.027,23.743,0.042,27.862,0.363
9000,14.999,0.000,55.104,0.002,55.116,0.002,54.972,0.001,55.000,0.001,28.180,0.006,28.176,0.006,28.176,0.006,28.176,0.006,26.097,0.020,26.838,0.020,25.971,0.020,26.016,0.020,26.121,0.020,28.705,0.027,23.743,0.042,27.869,0.365
10000,15.001,0.000,55.100,0.002,55.114,0.002,54.972,0.001,55.000,0.001,28.182,0.006,28.176,0.006,28.176,0.006,28.176,0.006,26.099,0.020,26.838,0.020,25.972,0.020,26.016,0.020,26.122,0.020,28.706,0.027,23.756,0.042,27.878,0.366
11000,15.001,0.000,55.102,0.002,55.118,0.002,54.972,0.001,55.000,0.001,28.182,0.006,28.176,0.006,28.176,0.006,28.176,0.006,26.098,0.020,26.840,0.020,25.973,0.020,26.017,0.020,26.122,0.020,28.707,0.027,23.782,0.043,27.889,0.367
12000,15.000,0.000,55.104,0.002,55.116,0.002,54.974,0.001,55.000,0.001,28.182,0.006,28.176,0.006,28.176,0.006,28.176,0.006,26.098,0.020,26.840,0.020,25.973,0.020,26.017,0.020,26.122,0.020,28.707,0.027,23.782,0.043,27.889,0.367
13000,15.000,0.000,55.104,0.002,55.116,0.002,54.976,0.001,55.002,0.001,28.182,0.006,28.176,0.006,28.176,0.006,28.176,0.006,26.098,0.020,26.840,0.020,25.974,0.020,26.018,0.020,26.123,0.020,28.706,0.027,23.712,0.043,27.891,0.368
14000,15.000,0.000,55.104,0.002,55.114,0.002,54.974,0.001,55.002,0.001,28.182,0.006,28.176,0.006,28.176,0.006,28.176,0.006,26.100,0.020,26.841,0.021,25.974,0.020,26.018,0.020,26.123,0.020,28.706,0.026,23.685,0.043,27.898,0.369
15000,15.001,0.000,55.104,0.002,55.116,0.002,54.974,0.001,55.000,0.001,28.182,0.006,28.176,0.006,28.178,0.006,28.178,0.006,26.099,0.020,26.842,0.021,25.975,0.020,26.019,0.020,26.123,0.020,28.705,0.026,23.739,0.043,27.906,0.369
16000,15.000,0.000,55.102,0.002,55.116,0.002,54.974,0.001,55.002,0.001,28.182,0.006,28.176,0.006,28.176,0.006,28.178,0.006,26.101,0.020,26.843,0.021,25.976,0.020,26.019,0.020,26.125,0.020,28.704,0.026,23.748,0.043,27.910,0.369
17000,15.000,0.000,55.102,0.002,55.118,0.002,54.974,0.001,55.000,0.001,28.182,0.006,28.176,0.006,28.178,0.006,28.178,0.006,26.102,0.020,26.843,0.021,25.976,0.020,26.020,0.020,26.124,0.020,28.703,0.026,23.713,0.043,27.915,0.369
18000,15.000,0.000,55.102,0.002,55.116,0.002,54.974,0.001,55.002,0.001,28.182,0.006,28.176,0.006,28.176,0.006,28.178,0.006,26.103,0.020,26.843,0.021,25.976,0.020,26.020,0.020,26.124,0.020,28.704,0.026,23.731,0.043,27.923,0.369
19000,15.000,0.000,55.102,0.002,55.120,0.002,54.974,0.001,55.002,0.001,28.182,0.006,28.176,0.006,28.178,0.006,28.178,0.006,26.102,0.020,26.844,0.021,25.977,0.020,26.021,0.020,26.125,0.020,28.704,0.025,23.796,0.044,27.933,0.369
20000,15.001,0.000,55.100,0.002,55.116,0.002,54.974,0.001,55.002,0.001,28.182,0.006,28.178,0.006,28.178,0.006,28.178,0.006,26.103,0.020,26.845,0.021,25.977,0.020,26.021,0.020,26.126,0.020,28.703,0.025,23.725,0.044,27.942,0.368
21000,14.999,0.000,55.104,0.002,55.118,0.002,54.972,0.001,55.000,0.001,28.184,0.006,28.178,0.006,28.176,0.006,28.178,0.006,26.103,0.020,26.845,0.021,25.977,0.020,26.022,0.020,26.127,0.020,28.703,0.025,23.651,0.044,27.948,0.367
22000,14.998,0.000,55.102,0.002,55.116,0.002,54.974,0.001,55.000,0.001,28.182,0.006,28.176,0.006,28.178,0.006,28.178,0.006,26.104,0.020,26.845,0.021,25.979,0.020,26.022,0.020,26.127,0.020,28.703,0.025,23.650,0.044,27.948,0.366
23000,14.999,0.000,55.102,0.002,55.116,0.002,54.974,0.001,55.002,0.001,28.184,0.006,28.178,0.006,28.178,0.006,28.178,0.006,26.103,0.020,26.846,0.021,25.978,0.020,26.024,0.020,26.128,0.020,28.702,0.024,23.585,0.045,27.947,0.364
24000,15.000,0.000,55.104,0.002,55.116,0.002,54.974,0.001,55.000,0.001,28.184,0.006,28.178,0.006,28.178,0.006,28.178,0.006,26.105,0.020,26.847,0.021,25.980,0.020,26.024,0.020,26.129,0.020,28.703,0.024,23.629,0.045,27.941,0.362
25000,15.000,0.000,55.104,0.002,55.116,0.002,54.972,0.001,54.998,0.001,28.184,0.006,28.178,0.006,28.178,0.006,28.178,0.006,26.106,0.020,26.847,0.021,25.980,0.020,26.024,0.020,26.129,0.020,28.702,0.024,23.641,0.045,27.944,0.360
26000,15.001,0.000,55.104,0.002,55.118,0.002,54.970,0.001,54.998,0.001,28.184,0.006,28.178,0.006,28.178,0.006,28.180,0.006,26.107,0.020,26.849,0.021,25.981,0.020,26.025,0.020,26.129,0.020,28.704,0.024,23.623,0.045,27.944,0.357
27000,15.001,0.000,55.104,0.002,55.114,0.002,54.974,0.001,55.002,0.001,28.184,0.006,28.178,0.006,28.178,0.006,28.178,0.006,26.107,0.020,26.850,0.021,25.981,0.020,26.026,0.020,26.129,0.020,28.704,0.023,23.639,0.044,27.949,0.354
28000,15.000,0.000,55.102,0.002,55.116,0.002,54.972,0.001,55.000,0.001,28.184,0.006,28.178,0.006,28.178,0.006,28.180,0.006,26.107,0.020,26.849,0.021,25.981,0.020,26.026,0.020,26.130,0.020,28.703,0.023,23.667,0.044,27.951,0.350
29000,15.001,0.000,55.102,0.002,55.116,0.002,54.974,0.001,55.000,0.001,28.184,0.006,28.178,0.006,28.180,0.006,28.180,0.006,26.108,0.020,26.850,0.021,25.982,0.020,26.028,0.020,26.131,0.020,28.705,0.023,23.615,0.045,27.951,0.347
30000,15.001,0.000,55.102,0.002,55.114,0.002,54.976,0.001,55.002,0.001,28.186,0.006,28.178,0.006,28.180,0.006,28.180,0.006,26.109,0.020,26.851,0.021,25.983,0.020,26.027,0.020,26.132,0.020,28.706,0.023,23.646,0.045,27.943,0.343
31001,15.001,0.001,55.104,0.002,55.114,0.002,54.976,0.001,55.002,0.001,28.184,0.006,28.180,0.006,28.178,0.006,28.180,0.006,26.109,0.020,26.852,0.021,25.984,0.020,26.028,0.020,26.133,0.020,28.706,0.022,23.675,0.045,27.941,0.340
32001,15.000,0.001,55.102,0.002,55.116,0.002,54.976,0.001,55.002,0.001,28.184,0.006,28.180,0.006,28.180,0.006,28.180,0.006,26.110,0.020,26.851,0.021,25.983,0.020,26.028,0.020,26.134,0.020,28.707,0.022,23.647,0.045,27.932,0.337
33001,15.000,0.000,55.102,0.002,55.116,0.002,54.974,0.001,55.000,0.001,28.184,0.006,28.180,0.006,28.180,0.006,28.180,0.006,26.110,0.020,26.853,0.021,25.985,0.020,26.029,0.020,26.133,0.020,28.709,0.022,23.649,0.044,27.925,0.333
34001,15.000,0.000,55.102,0.002,55.116,0.002,54.970,0.002,54.998,0.001,28.186,0.006,28.180,0.006,28.180,0.006,28.180,0.006,26.110,0.020,26.853,0.021,25.986,0.020,26.030,0.020,26.135,0.020,28.709,0.022,23.647,0.044,27.918,0.330
35001,15.000,0.000,55.100,0.002,55.116,0.002,54.972,0.002,54.998,0.001,28.186,0.006,28.180,0.006,28.180,0.006,28.180,0.006,26.111,0.020,26.854,0.021,25.985,0.020,26.031,0.020,26.134,0.020,28.711,0.021,23.629,0.044,27.914,0.326
36001,15.000,0.000,55.104,0.002,55.114,0.002,54.974,0.002,55.000,0.001,28.186,0.006,28.180,0.006,28.180,0.006,28.180,0.006,26.112,0.020,26.854,0.021,25.987,0.020,26.031,0.020,26.137,0.020,28.713,0.021,23.629,0.043,27.916,0.323
37001,15.000,0.000,55.104,0.002,55.114,0.002,54.974,0.002,55.000,0.001,28.186,0.006,28.180,0.006,28.180,0.006,28.180,0.006,26.112,0.020,26.854,0.021,25.987,0.020,26.032,0.020,26.136,0.020,28.714,0.021,23.638,0.042,27.931,0.318
38001,15.000,0.000,55.102,0.002,55.116,0.002,54.974,0.002,55.000,0.001,28.186,0.006,28.180,0.006,28.180,0.006,28.182,0.006,26.114,0.020,26.854,0.021,25.987,0.020,26.032,0.020,26.137,0.020,28.717,0.021,23.640,0.041,27.961,0.313
39001,15.000,0.000,55.104,0.002,55.114,0.002,54.976,0.002,55.002,0.001,28.186,0.006,28.180,0.006,28.182,0.006,28.182,0.006,26.114,0.020,26.856,0.021,25.989,0.020,26.033,0.020,26.137,0.020,28.718,0.021,23.648,0.041,27.975,0.308
40001,15.000,0.000,55.102,0.002,55.116,0.002,54.976,0.002,55.002,0.001,28.186,0.006,28.180,0.006,28.180,0.006,28.182,0.006,26.115,0.020,26.856,0.021,25.989,0.020,26.033,0.020,26.138,0.020,28.718,0.020,23.781,0.041,27.986,0.303
41001,15.001,0.000,55.102,0.001,55.116,0.002,54.974,0.002,55.000,0.001,28.188,0.006,28.180,0.006,28.180,0.006,28.180,0.006,26.116,0.020,26.857,0.021,25.989,0.020,26.033,0.020,26.138,0.020,28.719,0.020,23.756,0.041,27.991,0.298
42001,15.001,0.000,55.104,0.001,55.114,0.002,54.974,0.002,55.000,0.001,28.186,0.006,28.180,0.006,28.182,0.006,28.182,0.006,26.115,0.020,26.858,0.021,25.990,0.020,26.035,0.020,26.139,0.020,28.721,0.020,23.724,0.041,27.991,0.294
