MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,15.000,0.001,55.110,0.003,55.124,0.003,54.978,0.004,55.004,0.003,28.376,0.002,28.372,0.002,28.374,0.002,28.374,0.002,26.821,0.010,27.466,0.010,26.706,0.011,26.725,0.010,26.840,0.011,28.434,0.018,24.287,0.082,28.295,0.268
1000,15.000,0.001,55.108,0.003,55.122,0.003,54.980,0.004,55.006,0.003,28.376,0.002,28.372,0.002,28.374,0.002,28.374,0.002,26.821,0.010,27.467,0.010,26.706,0.011,26.725,0.010,26.839,0.011,28.431,0.019,24.262,0.083,28.361,0.270
2000,14.999,0.001,55.112,0.003,55.124,0.003,54.978,0.004,55.006,0.003,28.378,0.002,28.372,0.002,28.374,0.002,28.374,0.002,26.821,0.010,27.466,0.010,26.707,0.011,26.726,0.010,26.840,0.011,28.429,0.019,24.132,0.083,28.443,0.274
3000,14.999,0.001,55.112,0.003,55.122,0.003,54.978,0.004,55.006,0.003,28.378,0.002,28.372,0.002,28.374,0.002,28.374,0.002,26.823,0.010,27.467,0.010,26.707,0.011,26.726,0.010,26.841,0.011,28.428,0.019,24.127,0.083,28.520,0.279
4000,15.000,0.001,55.110,0.003,55.124,0.003,54.978,0.004,55.006,0.003,28.378,0.002,28.374,0.002,28.374,0.002,28.374,0.002,26.823,0.010,27.468,0.010,26.707,0.011,26.726,0.010,26.841,0.011,28.427,0.019,24.180,0.083,28.575,0.285
5000,15.000,0.001,55.112,0.003,55.122,0.003,54.978,0.004,55.006,0.003,28.378,0.002,28.372,0.002,28.374,0.002,28.374,0.002,26.822,0.010,27.469,0.010,26.707,0.011,26.727,0.010,26.840,0.011,28.424,0.020,24.074,0.082,28.637,0.293
6000,15.000,0.001,55.110,0.003,55.120,0.003,54.980,0.004,55.008,0.003,28.376,0.002,28.372,0.002,28.374,0.002,28.374,0.002,26.823,0.010,27.468,0.010,26.709,0.011,26.727,0.010,26.841,0.011,28.422,0.020,24.125,0.082,28.703,0.304
7000,15.000,0.001,55.108,0.003,55.122,0.002,54.978,0.004,55.004,0.003,28.378,0.002,28.372,0.002,28.374,0.002,28.374,0.002,26.822,0.010,27.468,0.010,26.708,0.011,26.727,0.010,26.842,0.011,28.420,0.020,24.194,0.081,28.752,0.316
8000,15.000,0.001,55.112,0.003,55.122,0.002,54.978,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.374,0.002,28.374,0.002,26.825,0.010,27.469,0.010,26.709,0.011,26.728,0.010,26.843,0.011,28.420,0.021,24.107,0.081,28.784,0.329
9000,15.000,0.001,55.110,0.003,55.122,0.002,54.980,0.003,55.008,0.003,28.378,0.002,28.374,0.002,28.374,0.002,28.374,0.002,26.824,0.010,27.469,0.010,26.708,0.011,26.727,0.010,26.842,0.011,28.420,0.021,24.195,0.080,28.816,0.342
10000,15.000,0.001,55.110,0.003,55.120,0.002,54.980,0.003,55.008,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.825,0.010,27.469,0.010,26.709,0.011,26.728,0.010,26.843,0.011,28.419,0.021,24.168,0.080,28.833,0.356
11000,15.000,0.001,55.112,0.003,55.122,0.002,54.978,0.003,55.006,0.003,28.376,0.002,28.374,0.002,28.374,0.002,28.374,0.002,26.824,0.010,27.469,0.010,26.710,0.011,26.728,0.010,26.843,0.011,28.420,0.021,24.126,0.080,28.840,0.369
12000,15.001,0.001,55.114,0.003,55.124,0.002,54.980,0.003,55.008,0.003,28.378,0.002,28.374,0.002,28.374,0.002,28.376,0.002,26.825,0.010,27.470,0.010,26.710,0.011,26.728,0.010,26.843,0.011,28.419,0.022,24.122,0.080,28.837,0.381
13000,15.001,0.001,55.110,0.002,55.122,0.002,54.976,0.003,55.004,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.825,0.010,27.470,0.010,26.710,0.011,26.728,0.010,26.844,0.011,28.419,0.022,24.146,0.080,28.839,0.393
14000,15.000,0.001,55.110,0.002,55.124,0.002,54.976,0.003,55.004,0.003,28.378,0.002,28.372,0.002,28.374,0.002,28.374,0.002,26.826,0.010,27.471,0.010,26.709,0.011,26.729,0.010,26.844,0.010,28.419,0.022,24.078,0.081,28.836,0.404
15000,15.001,0.001,55.114,0.002,55.122,0.002,54.978,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.374,0.002,28.374,0.002,26.825,0.010,27.472,0.010,26.711,0.011,26.729,0.010,26.844,0.010,28.420,0.022,24.037,0.081,28.837,0.415
16000,15.000,0.001,55.110,0.002,55.120,0.002,54.978,0.003,55.006,0.003,28.376,0.002,28.374,0.002,28.374,0.002,28.374,0.002,26.825,0.010,27.472,0.010,26.711,0.011,26.729,0.010,26.844,0.010,28.420,0.022,24.037,0.081,28.837,0.415
17000,15.000,0.001,55.110,0.002,55.124,0.002,54.982,0.003,55.008,0.003,28.378,0.002,28.374,0.002,28.374,0.002,28.374,0.002,26.826,0.010,27.471,0.010,26.710,0.011,26.729,0.010,26.845,0.010,28.419,0.022,24.099,0.082,28.837,0.424
18000,14.999,0.001,55.112,0.002,55.124,0.002,54.978,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.826,0.010,27.472,0.010,26.711,0.011,26.730,0.010,26.846,0.010,28.419,0.022,24.094,0.082,28.835,0.434
19000,15.000,0.001,55.110,0.002,55.122,0.002,54.978,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.826,0.010,27.472,0.010,26.711,0.011,26.730,0.010,26.845,0.010,28.421,0.022,24.113,0.082,28.842,0.443
20000,15.000,0.001,55.110,0.002,55.122,0.002,54.980,0.003,55.008,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.826,0.010,27.472,0.010,26.712,0.011,26.730,0.010,26.846,0.010,28.420,0.022,24.159,0.082,28.852,0.451
21000,15.000,0.001,55.114,0.002,55.122,0.002,54.982,0.003,55.008,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.828,0.010,27.471,0.010,26.712,0.011,26.731,0.010,26.845,0.010,28.421,0.022,24.107,0.081,28.842,0.459
22001,15.001,0.001,55.112,0.002,55.124,0.002,54.980,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.374,0.002,28.376,0.002,26.827,0.010,27.473,0.010,26.713,0.011,26.732,0.010,26.846,0.010,28.421,0.022,24.135,0.080,28.824,0.466
23001,15.001,0.001,55.114,0.002,55.122,0.002,54.978,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.828,0.010,27.474,0.010,26.713,0.011,26.731,0.010,26.845,0.010,28.423,0.022,24.119,0.080,28.805,0.473
24001,15.000,0.001,55.114,0.002,55.124,0.002,54.976,0.003,55.004,0.003,28.378,0.002,28.374,0.002,28.374,0.002,28.376,0.002,26.828,0.010,27.474,0.010,26.713,0.011,26.731,0.010,26.846,0.010,28.423,0.022,24.157,0.080,28.794,0.479
25001,15.000,0.001,55.110,0.002,55.120,0.002,54.980,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.830,0.010,27.474,0.010,26.713,0.011,26.732,0.010,26.848,0.010,28.423,0.022,24.160,0.080,28.796,0.484
26001,15.001,0.001,55.112,0.002,55.122,0.002,54.978,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.829,0.010,27.475,0.010,26.715,0.011,26.731,0.010,26.847,0.010,28.424,0.022,24.123,0.078,28.798,0.489
27001,15.000,0.001,55.110,0.002,55.124,0.002,54.978,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.828,0.010,27.475,0.010,26.714,0.011,26.732,0.010,26.848,0.010,28.425,0.022,24.121,0.077,28.795,0.494
28001,15.000,0.001,55.112,0.002,55.122,0.002,54.980,0.003,55.008,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.828,0.010,27.474,0.010,26.715,0.011,26.733,0.010,26.848,0.010,28.426,0.021,24.140,0.076,28.780,0.497
29001,15.000,0.001,55.110,0.002,55.122,0.002,54.978,0.003,55.006,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.829,0.010,27.475,0.010,26.715,0.011,26.733,0.010,26.848,0.010,28.426,0.021,24.134,0.076,28.751,0.500
30001,15.000,0.001,55.110,0.002,55.124,0.002,54.978,0.003,55.006,0.003,28.378,0.002,28.376,0.002,28.376,0.002,28.376,0.002,26.829,0.010,27.476,0.010,26.715,0.011,26.732,0.010,26.849,0.010,28.426,0.021,24.109,0.076,28.731,0.502
31001,15.000,0.001,55.112,0.002,55.124,0.002,54.980,0.003,55.008,0.003,28.380,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.829,0.010,27.475,0.010,26.716,0.011,26.733,0.010,26.849,0.010,28.426,0.021,24.118,0.076,28.716,0.503
32001,14.999,0.001,55.112,0.002,55.124,0.002,54.980,0.003,55.006,0.003,28.380,0.002,28.376,0.002,28.376,0.002,28.376,0.002,26.831,0.010,27.475,0.010,26.716,0.011,26.734,0.010,26.849,0.010,28.427,0.021,24.098,0.076,28.714,0.504
33001,15.000,0.001,55.110,0.002,55.124,0.002,54.982,0.003,55.008,0.003,28.380,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.830,0.010,27.476,0.010,26.715,0.011,26.734,0.010,26.850,0.010,28.425,0.021,24.081,0.076,28.693,0.503
34001,15.001,0.001,55.110,0.002,55.122,0.002,54.980,0.003,55.008,0.003,28.380,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.832,0.010,27.476,0.010,26.717,0.011,26.734,0.010,26.850,0.010,28.427,0.021,23.990,0.077,28.671,0.502
35001,15.000,0.001,55.112,0.002,55.124,0.002,54.982,0.003,55.008,0.003,28.378,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.831,0.010,27.476,0.010,26.716,0.011,26.735,0.010,26.850,0.010,28.427,0.021,24.207,0.077,28.664,0.501
36001,15.001,0.001,55.112,0.002,55.122,0.002,54.980,0.003,55.008,0.003,28.380,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.831,0.010,27.478,0.010,26.717,0.011,26.736,0.010,26.850,0.010,28.427,0.021,24.167,0.077,28.657,0.501
37001,15.000,0.001,55.112,0.002,55.122,0.002,54.980,0.003,55.008,0.003,28.380,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.831,0.010,27.478,0.010,26.718,0.011,26.735,0.010,26.851,0.010,28.426,0.021,24.078,0.077,28.648,0.500
38001,15.000,0.001,55.110,0.002,55.122,0.002,54.980,0.003,55.006,0.003,28.380,0.002,28.374,0.002,28.376,0.002,28.376,0.002,26.832,0.010,27.477,0.010,26.718,0.011,26.735,0.010,26.851,0.010,28.426,0.021,24.083,0.077,28.620,0.501
