MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,14.999,0.001,55.122,0.002,55.134,0.002,54.992,0.004,55.018,0.003,28.036,0.006,28.030,0.006,28.030,0.006,28.030,0.006,25.629,0.020,26.373,0.020,25.506,0.020,25.553,0.021,25.657,0.021,28.457,0.043,23.210,0.164,29.016,0.201
1000,15.001,0.001,55.122,0.002,55.138,0.002,54.990,0.004,55.018,0.003,28.036,0.006,28.030,0.006,28.032,0.006,28.032,0.006,25.630,0.020,26.373,0.020,25.507,0.020,25.553,0.021,25.658,0.021,28.457,0.043,23.208,0.164,29.026,0.198
2000,15.000,0.001,55.122,0.002,55.136,0.002,54.990,0.004,55.018,0.003,28.036,0.006,28.030,0.006,28.030,0.006,28.032,0.006,25.630,0.020,26.373,0.020,25.507,0.020,25.554,0.021,25.659,0.021,28.457,0.043,23.133,0.164,29.001,0.195
3000,15.001,0.001,55.122,0.002,55.136,0.002,54.992,0.003,55.020,0.003,28.036,0.006,28.030,0.006,28.030,0.006,28.032,0.006,25.630,0.020,26.374,0.020,25.508,0.020,25.554,0.021,25.658,0.021,28.456,0.043,23.124,0.164,28.940,0.192
4000,15.001,0.001,55.122,0.002,55.136,0.002,54.988,0.003,55.016,0.003,28.036,0.006,28.030,0.006,28.030,0.006,28.032,0.006,25.631,0.020,26.375,0.020,25.508,0.020,25.555,0.021,25.659,0.021,28.457,0.044,23.081,0.164,28.894,0.190
5000,15.000,0.001,55.122,0.002,55.136,0.002,54.992,0.003,55.020,0.003,28.036,0.006,28.030,0.006,28.032,0.006,28.032,0.006,25.633,0.020,26.376,0.020,25.510,0.020,25.556,0.021,25.660,0.021,28.456,0.044,23.038,0.163,28.848,0.188
6000,15.000,0.001,55.120,0.002,55.138,0.002,54.992,0.003,55.020,0.003,28.036,0.006,28.030,0.006,28.030,0.006,28.032,0.006,25.632,0.020,26.376,0.020,25.510,0.020,25.556,0.021,25.660,0.021,28.457,0.044,23.160,0.164,28.842,0.187
7000,15.002,0.001,55.124,0.002,55.134,0.002,54.990,0.003,55.018,0.003,28.036,0.006,28.030,0.006,28.032,0.006,28.032,0.006,25.633,0.020,26.377,0.020,25.510,0.020,25.557,0.021,25.661,0.021,28.457,0.044,23.267,0.165,28.858,0.186
8000,15.000,0.001,55.122,0.002,55.136,0.002,54.992,0.003,55.020,0.003,28.036,0.006,28.030,0.006,28.032,0.006,28.032,0.006,25.634,0.020,26.377,0.020,25.511,0.020,25.558,0.021,25.661,0.021,28.457,0.044,23.222,0.165,28.877,0.184
9000,14.999,0.001,55.122,0.002,55.136,0.002,54.990,0.003,55.018,0.003,28.036,0.006,28.030,0.006,28.032,0.006,28.032,0.006,25.636,0.020,26.379,0.020,25.511,0.020,25.558,0.021,25.662,0.021,28.456,0.044,23.110,0.165,28.898,0.181
