MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,15.000,0.001,55.090,0.002,55.098,0.002,54.958,0.002,54.984,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.749,0.011,27.405,0.007,26.630,0.011,26.651,0.011,26.765,0.011,28.498,0.020,23.724,0.115,28.033,0.461
1000,15.000,0.001,55.092,0.002,55.102,0.002,54.954,0.002,54.982,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.749,0.011,27.407,0.007,26.631,0.011,26.652,0.011,26.765,0.011,28.499,0.020,23.667,0.115,28.016,0.467
2000,15.000,0.001,55.090,0.002,55.102,0.002,54.954,0.002,54.982,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.749,0.011,27.406,0.007,26.631,0.011,26.652,0.011,26.766,0.011,28.498,0.020,23.702,0.115,28.004,0.473
3000,15.000,0.001,55.092,0.002,55.100,0.002,54.956,0.002,54.984,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.750,0.011,27.406,0.007,26.632,0.011,26.654,0.011,26.767,0.011,28.499,0.020,23.737,0.115,27.993,0.478
4000,15.000,0.001,55.092,0.002,55.102,0.002,54.958,0.002,54.986,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.751,0.011,27.407,0.007,26.632,0.011,26.653,0.011,26.766,0.011,28.498,0.020,23.787,0.115,27.982,0.484
5000,15.000,0.001,55.090,0.002,55.102,0.002,54.958,0.002,54.984,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.750,0.011,27.406,0.007,26.634,0.011,26.654,0.011,26.767,0.011,28.499,0.019,23.735,0.115,27.977,0.489
6000,15.000,0.001,55.092,0.002,55.100,0.002,54.958,0.002,54.986,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.750,0.011,27.407,0.007,26.633,0.011,26.654,0.011,26.766,0.011,28.498,0.019,23.657,0.116,27.967,0.495
7000,15.000,0.001,55.090,0.002,55.102,0.002,54.956,0.002,54.984,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.750,0.011,27.408,0.007,26.633,0.011,26.655,0.011,26.767,0.011,28.498,0.019,23.665,0.116,27.959,0.500
8000,15.000,0.001,55.090,0.002,55.102,0.002,54.960,0.002,54.986,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.751,0.011,27.408,0.007,26.634,0.011,26.655,0.011,26.767,0.011,28.497,0.019,23.688,0.117,27.962,0.505
9000,15.000,0.001,55.092,0.002,55.104,0.002,54.958,0.002,54.986,0.001,28.362,0.002,28.358,0.002,28.360,0.002,28.360,0.002,26.752,0.011,27.407,0.007,26.634,0.011,26.655,0.011,26.768,0.011,28.496,0.018,23.750,0.114,27.951,0.509
