MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,15.000,0.001,55.104,0.002,55.120,0.002,54.978,0.002,55.004,0.001,28.220,0.006,28.214,0.006,28.214,0.006,28.216,0.006,26.220,0.020,26.956,0.018,26.094,0.020,26.139,0.020,26.242,0.019,28.771,0.008,24.039,0.091,27.005,0.687
1000,15.002,0.001,55.104,0.002,55.120,0.002,54.976,0.002,55.002,0.001,28.220,0.006,28.214,0.006,28.216,0.006,28.216,0.006,26.220,0.020,26.957,0.018,26.095,0.020,26.139,0.020,26.244,0.019,28.768,0.008,23.996,0.094,27.035,0.683
2000,15.000,0.001,55.106,0.002,55.118,0.002,54.976,0.002,55.004,0.001,28.220,0.006,28.214,0.006,28.214,0.006,28.216,0.006,26.220,0.020,26.957,0.018,26.096,0.020,26.140,0.020,26.244,0.019,28.768,0.008,24.048,0.098,27.061,0.679
3000,15.002,0.001,55.106,0.002,55.118,0.002,54.974,0.002,55.002,0.001,28.220,0.006,28.216,0.006,28.214,0.006,28.216,0.006,26.221,0.020,26.958,0.018,26.096,0.020,26.140,0.020,26.244,0.019,28.766,0.009,23.931,0.099,27.083,0.675
4000,15.000,0.001,55.106,0.002,55.118,0.002,54.972,0.002,55.000,0.001,28.220,0.006,28.214,0.006,28.216,0.006,28.216,0.006,26.222,0.020,26.958,0.018,26.098,0.020,26.141,0.020,26.245,0.019,28.765,0.009,23.896,0.100,27.103,0.670
5000,14.997,0.001,55.104,0.002,55.118,0.002,54.974,0.002,55.002,0.001,28.220,0.006,28.216,0.006,28.216,0.006,28.216,0.006,26.222,0.020,26.958,0.018,26.098,0.020,26.141,0.020,26.245,0.019,28.765,0.009,23.896,0.100,27.103,0.670
6000,14.999,0.001,55.106,0.002,55.118,0.002,54.976,0.002,55.004,0.001,28.222,0.006,28.216,0.006,28.216,0.006,28.216,0.006,26.223,0.020,26.959,0.018,26.098,0.020,26.142,0.020,26.246,0.019,28.766,0.009,23.875,0.101,27.128,0.666
7000,14.999,0.001,55.104,0.002,55.118,0.002,54.978,0.002,55.004,0.001,28.220,0.006,28.216,0.007,28.216,0.006,28.216,0.006,26.224,0.020,26.960,0.018,26.099,0.020,26.142,0.020,26.247,0.019,28.765,0.009,23.858,0.101,27.138,0.661
8000,15.000,0.001,55.106,0.002,55.118,0.001,54.976,0.002,55.004,0.001,28.222,0.006,28.216,0.007,28.214,0.006,28.216,0.006,26.224,0.020,26.960,0.018,26.099,0.020,26.143,0.020,26.247,0.019,28.766,0.009,23.819,0.102,27.163,0.657
9000,15.001,0.001,55.100,0.002,55.120,0.001,54.974,0.002,55.002,0.001,28.220,0.006,28.216,0.007,28.216,0.006,28.216,0.006,26.224,0.020,26.960,0.018,26.100,0.020,26.143,0.020,26.248,0.019,28.767,0.009,23.872,0.102,27.176,0.653
