MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,15.001,0.001,55.114,0.004,55.126,0.003,54.980,0.004,55.008,0.004,28.318,0.004,28.312,0.004,28.314,0.004,28.314,0.004,26.560,0.014,27.242,0.011,26.441,0.015,26.471,0.015,26.581,0.015,28.625,0.012,24.177,0.282,28.407,0.223
1000,15.000,0.001,55.114,0.004,55.124,0.003,54.980,0.004,55.008,0.004,28.318,0.004,28.312,0.004,28.314,0.004,28.314,0.004,26.561,0.014,27.242,0.011,26.442,0.015,26.472,0.015,26.580,0.015,28.625,0.012,24.384,0.280,28.411,0.222
2000,14.998,0.001,55.114,0.004,55.126,0.003,54.980,0.004,55.008,0.004,28.318,0.004,28.314,0.004,28.314,0.004,28.314,0.004,26.561,0.014,27.243,0.011,26.441,0.015,26.472,0.015,26.581,0.015,28.624,0.012,24.521,0.278,28.392,0.222
3000,14.998,0.001,55.114,0.004,55.124,0.003,54.978,0.004,55.006,0.004,28.318,0.004,28.314,0.004,28.314,0.004,28.314,0.004,26.562,0.014,27.242,0.011,26.442,0.015,26.472,0.015,26.582,0.015,28.622,0.013,24.219,0.276,28.366,0.221
4000,15.004,0.001,55.112,0.004,55.126,0.003,54.982,0.004,55.008,0.004,28.318,0.004,28.314,0.004,28.314,0.004,28.314,0.004,26.562,0.014,27.243,0.011,26.442,0.015,26.473,0.015,26.581,0.014,28.621,0.013,24.241,0.274,28.345,0.220
5000,15.002,0.001,55.116,0.004,55.126,0.003,54.982,0.004,55.008,0.004,28.318,0.004,28.314,0.004,28.314,0.004,28.314,0.004,26.563,0.014,27.244,0.011,26.443,0.015,26.473,0.015,26.583,0.014,28.619,0.013,24.295,0.271,28.353,0.219
6000,15.002,0.001,55.116,0.004,55.124,0.003,54.984,0.004,55.010,0.004,28.320,0.004,28.312,0.004,28.314,0.004,28.314,0.004,26.563,0.014,27.244,0.011,26.443,0.015,26.474,0.015,26.583,0.014,28.618,0.014,24.320,0.269,28.374,0.218
7000,15.002,0.001,55.116,0.004,55.126,0.003,54.984,0.004,55.010,0.004,28.318,0.004,28.314,0.004,28.314,0.004,28.314,0.004,26.562,0.014,27.244,0.011,26.444,0.015,26.475,0.015,26.583,0.014,28.616,0.014,24.336,0.267,28.394,0.217
8000,15.001,0.001,55.114,0.004,55.124,0.003,54.984,0.004,55.010,0.004,28.318,0.004,28.314,0.004,28.316,0.004,28.316,0.004,26.564,0.014,27.244,0.011,26.444,0.015,26.474,0.015,26.584,0.014,28.615,0.015,24.302,0.265,28.409,0.216
9000,14.998,0.001,55.114,0.004,55.124,0.003,54.984,0.004,55.010,0.004,28.318,0.004,28.314,0.004,28.316,0.004,28.316,0.004,26.564,0.014,27.244,0.011,26.444,0.015,26.475,0.015,26.584,0.014,28.614,0.015,24.193,0.263,28.420,0.215
