Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-02-20_19-27-35 -- 147.058150392 202.82876176 205.128345098 233.089886264 196.509970036 211.234191246 205.818941913 196.030245608 257.549318406 -- 
2015-02-20_19-29-43 -- 147.674524048 203.032973132 205.238306399 233.153883759 196.588184081 211.291499076 206.3112873 196.600778378 257.466242959 -- 
2015-02-20_19-31-51 -- 146.695064912 202.888263949 205.030092626 233.089817296 196.783577008 211.326262211 206.30578013 196.958960926 256.257185158 -- 
2015-02-20_19-33-59 -- 146.361422947 202.695339502 204.511262283 233.072200286 196.420983901 211.210869446 205.868835103 196.779454342 256.063586623 -- 
2015-02-20_19-36-09 -- 149.190896107 202.796406987 205.094384626 233.076541411 196.576771405 211.542331705 206.497773011 196.484139854 257.469027023 -- 
2015-02-20_19-38-17 -- 149.722663818 203.230890938 205.522700071 233.407803982 197.033144043 211.753031297 206.177653155 196.640911471 257.289600572 -- 
2015-02-20_19-40-27 -- 146.757365075 202.977412626 205.364831319 233.469625028 196.943020215 211.86047951 206.666095055 196.496112946 254.30670742 -- 
2015-02-20_19-42-34 -- 148.04353971 203.011324692 205.759554743 233.376861927 196.779829814 211.923966603 207.011517429 196.856203928 257.448759663 -- 
2015-02-20_19-44-43 -- 147.269237107 202.777324011 205.868909883 233.58638752 196.519009985 212.122391458 206.67627222 197.257128003 257.133572661 -- 
2015-02-20_19-46-50 -- 147.528915504 202.887649052 205.533853086 233.486851107 197.034951637 212.448148508 206.71734475 197.350935388 257.350130247 -- 
2015-02-20_19-48-59 -- 148.764172157 202.819756481 206.251736957 234.042972058 196.816187432 212.575859513 207.380010482 197.821333368 256.221545417 -- 
2015-02-20_19-51-07 -- 145.694519238 202.816350885 204.873828499 233.385882049 196.481920658 212.077590766 206.942928862 197.405828033 256.493467123 -- 
