Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-02-21_08-25-40 -- 242.643796509 247.283194764 248.855077209 252.353207077 244.11024455 250.112497776 248.147938043 247.359445454 255.460022964 -- 
2015-02-21_08-27-50 -- 242.787295273 246.678135573 248.465123224 252.576085646 245.362340463 250.838601104 248.783124054 248.42231674 254.995513072 -- 
2015-02-21_08-29-59 -- 243.109034465 247.280955082 248.778728273 252.750921015 245.550017131 250.394153728 248.702315576 247.987026772 254.958257328 -- 
2015-02-21_08-32-06 -- 243.747373854 246.926889675 248.045499458 252.689099846 246.503477812 250.712647272 248.763248048 248.330388588 255.544542471 -- 
2015-02-21_08-34-14 -- 246.515929201 248.957090279 249.994035805 253.223556253 247.974101131 251.594748525 250.277752031 249.659681522 255.863915488 -- 
2015-02-21_08-36-22 -- 246.232375324 248.917856386 250.401524067 253.24783902 247.993756602 251.307690066 249.950601443 249.206172709 255.150295614 -- 
2015-02-21_08-38-30 -- 246.850867192 249.161329808 250.418604481 253.392142999 248.397528999 251.587785339 250.027597185 249.434712211 255.865060119 -- 
2015-02-21_08-40-39 -- 245.844864614 248.628954418 249.846670732 253.143620543 248.030266657 251.623076513 250.469158185 250.15259521 256.388421429 -- 
2015-02-21_08-42-46 -- 246.236073584 248.984537163 250.299983308 253.199142585 248.267583889 251.603681717 250.174375422 249.545810992 256.137475777 -- 
2015-02-21_08-44-54 -- 247.173904217 249.468727362 250.69973628 253.440672698 248.76894812 252.117568466 250.710561871 249.861785029 256.293117112 -- 
2015-02-21_08-47-02 -- 248.440087825 250.357906922 251.347482484 253.419240188 249.894060413 252.624084352 251.328064843 250.841118202 256.361605408 -- 
2015-02-21_08-49-09 -- 248.039389168 250.150794819 251.223027986 253.542545789 249.366593704 252.488364136 251.146187116 250.582669265 255.81846188 -- 
2015-02-21_08-51-17 -- 248.490005816 250.314838675 251.283570071 253.630160472 249.731278841 252.607291612 251.213262666 251.056188844 256.261421383 -- 
2015-02-21_08-53-25 -- 248.932766399 250.586860989 251.420243163 253.948719351 250.027027855 252.693358902 251.768678828 251.298300441 256.824091336 -- 
2015-02-21_08-55-33 -- 249.598091795 250.992756913 252.164207763 253.816316217 250.391745968 253.121032815 251.958694111 251.587563894 256.107086339 -- 
2015-02-21_08-57-41 -- 249.04491838 250.589747255 251.58855785 253.798911099 249.902184001 252.699289519 251.615504563 251.220078159 257.023742355 -- 
2015-02-21_08-59-50 -- 248.906618173 250.45591717 251.393124125 253.439116699 249.860870427 252.416319774 252.014683155 251.346945192 256.224848401 -- 
2015-02-21_09-01-58 -- 250.023567306 251.387569164 252.424924287 254.161133983 250.757800385 253.340171774 252.773672513 252.084137383 256.232087641 -- 
2015-02-21_09-04-06 -- 249.983896833 251.451601903 252.494414331 254.389248661 250.629863589 253.236672623 252.298440261 251.933154326 255.78065594 -- 
2015-02-21_09-06-13 -- 248.66488641 250.499775572 251.230780966 253.590978645 249.607545517 252.681091302 251.647896753 251.203956522 256.753321247 -- 
2015-02-21_09-08-22 -- 249.918511689 251.372932402 252.041658723 254.084549725 250.527849515 253.141739801 252.38706543 252.074490455 257.5511477 -- 
2015-02-21_09-10-31 -- 250.477325753 251.725700352 252.505905878 254.245067408 251.035259445 253.649304771 252.783837503 252.501501469 257.435471666 -- 
2015-02-21_09-12-39 -- 251.117384112 252.071655935 251.657488871 253.388105098 251.453755725 252.860380955 252.119070426 252.083319868 255.993609546 -- 
2015-02-21_09-14-48 -- 251.890084739 252.760469469 253.363604136 255.076190872 252.210837191 254.366500156 253.572329691 253.280477632 256.324219451 -- 
2015-02-21_09-16-56 -- 251.503859052 252.496969721 253.411690945 254.995118979 251.922898826 254.345767496 253.501112954 253.079145482 258.021353267 -- 
2015-02-21_09-19-03 -- 251.330244517 252.473817619 253.144528257 254.847076951 251.743968621 253.868325699 252.919584759 252.56900682 257.219168826 -- 
2015-02-21_09-21-11 -- 251.909614886 252.792644139 253.62261952 254.898940035 252.137094258 254.164003081 253.541677381 253.228712778 257.428464614 -- 
2015-02-21_09-23-19 -- 250.362297467 251.685997366 252.212100994 254.444296414 250.935621382 253.747347544 252.247729669 252.195640752 255.328314439 -- 
2015-02-21_09-25-27 -- 250.487532502 251.847494645 252.791927644 254.838842286 251.07996976 253.942425735 252.962175008 252.476687117 256.818235151 -- 
2015-02-21_09-27-35 -- 251.153732741 252.222179829 253.041777441 254.598640026 251.586048742 253.772378512 253.360212507 253.021597862 257.206266057 -- 
2015-02-21_09-29-43 -- 250.670492779 251.93401698 252.506892897 254.56887599 250.996409565 253.349468566 252.73538273 252.406770712 256.737570586 -- 
2015-02-21_09-31-51 -- 249.651078644 251.225589249 252.193753089 254.226521953 250.344014074 253.260014099 252.578889129 252.342842718 256.893212081 -- 
2015-02-21_09-34-01 -- 248.89467428 250.847321632 251.633981984 254.509556028 249.82463619 253.196966176 252.261594782 252.034076858 255.984642931 -- 
2015-02-21_09-36-09 -- 249.032935311 250.952669288 252.092312201 254.546950655 249.917831744 253.443089707 252.258847618 251.949255956 256.974310329 -- 
2015-02-21_09-38-19 -- 248.274523929 250.431955304 251.765235324 254.372402345 249.274637417 252.962359732 252.292329046 251.587831909 256.546765792 -- 
2015-02-21_09-40-26 -- 247.361316571 249.780935849 251.527742959 254.532054164 248.370274897 252.903810771 251.665700213 250.906560636 257.185271101 -- 
2015-02-21_09-42-35 -- 247.849162102 250.135424085 251.671020772 254.441770958 248.700097352 253.243323732 251.7724939 251.365169325 258.068648887 -- 
2015-02-21_09-44-42 -- 245.461309834 248.519887893 250.514907459 254.453048693 247.071387292 252.79909266 251.121350386 250.293283548 257.440310096 -- 
2015-02-21_09-46-50 -- 243.759353287 247.39045756 250.048599692 254.301838642 245.520680774 252.785534205 250.725957425 249.917844486 256.836130661 -- 
2015-02-21_09-48-58 -- 244.509454932 247.953441884 250.502501442 254.776877995 246.181263669 252.876139965 251.596893632 250.457801085 257.51605824 -- 
2015-02-21_09-51-07 -- 245.342883313 248.483917214 250.793868549 254.591837811 246.798539978 253.089010046 251.587806209 250.826769493 258.221932233 -- 
2015-02-21_09-53-16 -- 245.691010993 248.658427708 250.939435696 254.802359559 247.165391429 253.220861438 251.570465707 250.923180326 256.985202074 -- 
