Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-02-21_09-38-19 -- 5.73773082381 7.06739568232 3.03254603755 4.55165305388 4.87804905398 3.65416352621 3.35181429986 5.16989931349 5.58649047298 -- 
2015-02-21_09-40-26 -- 5.62846797169 6.98499646328 3.02288350758 4.5588846732 4.76486039569 3.65179890481 3.32599199798 5.12531090943 5.61341633613 -- 
2015-02-21_09-42-35 -- 5.68652901365 7.0297444828 3.02871285776 4.55479182137 4.80574098048 3.66551084109 3.33038855714 5.15530450971 5.65070460922 -- 
2015-02-21_09-44-42 -- 5.40521411682 6.82717328766 2.9818288092 4.55530308036 4.60557848468 3.6475696463 3.30358181354 5.08535639005 5.62417415407 -- 
2015-02-21_09-46-50 -- 5.21036386326 6.68752551186 2.9629844452 4.54846565826 4.42015023396 3.64702205994 3.28738566571 5.06091481776 5.59868921849 -- 
2015-02-21_09-48-58 -- 5.29561497103 6.75688295282 2.98132745901 4.56998338927 4.49866218472 3.65068136181 3.32315931923 5.09607457803 5.62736929189 -- 
2015-02-21_09-51-07 -- 5.39157816711 6.82270968291 2.99310214563 4.56159487394 4.57245852622 3.65927856227 3.32278520167 5.12011257928 5.65718273489 -- 
2015-02-21_09-53-16 -- 5.43196525313 6.84436470545 2.99898478473 4.57113855722 4.61698931023 3.66460365468 3.32207131545 5.12639366913 5.60497721036 -- 
2015-02-21_09-55-25 -- 5.499637116 6.89538986023 3.00954128968 4.58414240905 4.69781401547 3.66946553582 3.32691670819 5.13467949314 5.61019594752 -- 
2015-02-21_09-57-33 -- 5.59493034214 6.96621829657 3.0257082616 4.58588810294 4.73959221789 3.68516170113 3.34234346348 5.15389016077 5.62861115013 -- 
2015-02-21_09-59-41 -- 5.55338142828 6.94409701329 3.01289228934 4.5899756646 4.75234734505 3.67014344624 3.33431633677 5.15521112132 5.649853937 -- 
