Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-02-23_09-51-27 -- 155.672632597 198.337720198 193.990735096 219.890310822 199.207291853 202.220130179 191.024693274 187.256126718 253.62199083 -- 
2015-02-23_09-53-35 -- 159.179201321 199.532858937 193.775277242 219.408796846 199.730015414 201.499229684 191.222653437 186.442131832 251.199142672 -- 
2015-02-23_14-30-11 -- 239.565870334 241.979743985 241.016406004 240.660434874 239.228904767 236.918478665 237.894317021 239.333544812 253.140871057 -- 
2015-02-23_14-32-20 -- 242.244864929 243.767487946 242.511995129 242.37184048 242.125846623 239.476445411 239.537268579 239.17411271 250.028429537 -- 
2015-02-23_14-34-28 -- 237.232296235 240.684829295 239.520703718 240.226880451 238.757792181 239.775527711 240.005351238 240.470544426 250.67276596 -- 
2015-02-23_14-36-35 -- 226.485030426 232.564253932 228.907355288 231.1602659 229.656639875 225.169869136 224.621023699 226.302315034 251.091808758 -- 
2015-02-23_14-38-45 -- 227.60684836 234.731935707 233.460210036 234.687546014 233.487264653 228.88577204 228.41279633 229.497528881 251.792450139 -- 
2015-02-23_14-40-53 -- 233.939122957 237.493467701 234.598105692 236.232072034 236.589353019 233.178567939 234.362284361 235.286922339 250.478352584 -- 
2015-02-23_14-43-01 -- 236.22997417 239.77924225 238.716246858 238.508373356 236.962149821 232.748523514 233.094993341 233.853828085 251.953950577 -- 
2015-02-23_14-45-09 -- 234.920392946 239.903372609 237.836882666 238.468085898 239.788929157 236.074825381 238.602409299 240.34433 -- -- 
2015-02-23_14-47-19 -- 239.203425629 241.987606344 241.248526263 240.695887989 240.212181446 238.036864966 239.021916811 240.311530531 -- -- 
2015-02-23_14-49-28 -- 223.835388816 231.715843092 229.595662951 231.386221507 231.658763429 225.213054654 226.077038684 226.506284951 -- -- 
2015-02-23_14-51-35 -- 218.320020627 227.093047862 221.675350204 225.654798858 226.520422358 220.207644847 221.955430938 223.845102876 252.803472702 -- 
2015-02-23_14-53-43 -- 212.198097757 222.373599513 215.092374955 222.777112452 219.073561411 212.503419992 210.811141295 212.779220167 251.656190748 -- 
2015-02-23_14-55-51 -- 221.831129598 228.023701682 222.084027128 225.968319964 224.957513246 216.389468753 215.393131851 216.396745378 248.424324976 -- 
2015-02-23_14-58-00 -- 228.996168058 234.9453607 231.580993111 232.116633625 231.985977369 226.874379809 228.768469848 230.809483374 -- -- 
2015-02-23_15-00-07 -- 223.465343565 230.361065868 226.73594272 228.942558025 227.645570968 221.486715491 221.508807947 222.963259562 -- -- 
2015-02-23_15-02-15 -- 232.995038196 236.248494627 234.210354132 236.711549881 236.190634654 233.355657207 233.961057668 236.210573626 255.121456699 -- 
2015-02-23_15-04-24 -- 227.464791435 235.322461613 232.30471389 231.635502454 229.541505534 227.895298249 229.547248655 232.803695731 253.174567766 -- 
2015-02-23_15-06-33 -- 227.388084259 232.287817707 226.799351169 229.848999985 228.296353721 223.913831948 225.952002776 230.821466774 249.959088217 -- 
2015-02-23_15-08-40 -- 230.239159273 234.780502986 231.545161077 231.970398015 231.605802157 223.901258326 222.365051947 221.75805771 250.91806774 -- 
2015-02-23_15-10-48 -- 234.71995336 239.13419029 237.671907061 236.090194 236.454548972 233.223857235 235.517405084 236.820333723 -- -- 
2015-02-23_15-12-58 -- 204.855861865 217.506942161 208.894627691 221.032516798 217.897282837 213.877704361 213.894456773 216.066150578 252.362225796 -- 
2015-02-23_15-15-08 -- -- 229.090910097 221.053852471 224.645596413 220.836667159 214.316944334 211.379057376 213.570287612 252.040244189 -- 
2015-02-23_15-17-17 -- 209.418096027 221.602199185 216.677324003 224.914608723 226.303049794 220.708863442 224.023483232 228.487747397 250.499837825 -- 
2015-02-23_15-19-24 -- 215.237791917 223.980697811 214.097511716 221.130141127 215.294163677 205.885714482 199.610285339 199.025059256 250.488743101 -- 
2015-02-23_15-21-32 -- 222.102776606 229.561254201 224.694488924 228.455860256 226.603144203 220.075042047 221.154872492 224.428990303 251.600577579 -- 
2015-02-23_15-23-40 -- 233.078211286 237.157341842 232.612246079 233.027825001 233.888989462 227.954778738 228.804382899 229.887515773 -- -- 
