Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-02-22_11-47-33 -- 236.54383454 248.306062963 255.26379689 263.352241355 238.521935791 260.557402901 256.94795835 254.587898343 268.012044474 -- 
2015-02-22_11-49-41 -- 239.022332246 249.613286589 256.283889687 263.313338582 240.413179199 260.552838651 257.185350401 254.297334533 267.227104922 -- 
2015-02-22_11-51-49 -- 239.168837291 250.287121534 257.092679736 263.748612175 242.019469952 261.133539605 258.23110219 256.469993503 267.187499317 -- 
2015-02-22_11-53-57 -- 242.475185505 251.877250982 257.555947382 263.655705997 243.29362665 261.379623648 258.600330824 257.091959621 267.694735386 -- 
2015-02-22_11-56-05 -- 243.111864554 251.041570648 257.008652251 263.585114747 248.257588398 262.08441218 260.030980953 258.890085407 268.370899613 -- 
2015-02-22_11-58-13 -- 248.397190972 254.166227551 258.263018019 263.759151064 241.629213051 260.756298848 259.090588377 258.407645509 267.82488873 -- 
2015-02-22_12-00-21 -- 248.493448753 254.316448805 258.567567863 264.066477909 248.181085564 261.943567292 259.960554611 258.913820716 267.529696596 -- 
2015-02-22_12-02-28 -- 248.613059532 254.519632384 258.716898813 264.076737897 250.543836311 262.3376152 260.586529988 259.308264492 268.345470245 -- 
2015-02-22_12-04-36 -- 247.873063558 253.828484241 258.093887343 264.034639271 247.925493999 262.28334254 260.507638758 259.26668094 268.555781568 -- 
2015-02-22_12-06-44 -- 250.347674777 255.049999134 258.850580842 263.964912217 249.973852445 262.376706778 260.28987265 259.034962473 268.525845701 -- 
2015-02-22_12-08-54 -- 247.905180181 253.525183065 258.484182528 264.268689584 250.381260439 262.607240246 260.6041346 259.388508722 268.150462964 -- 
2015-02-22_12-11-01 -- 249.608099471 254.849732281 258.9826986 264.053842622 251.251728429 262.379478333 260.46453241 259.213721954 268.894352636 -- 
2015-02-22_12-13-09 -- 248.992517121 254.790893779 258.936806526 264.049684741 249.681362884 262.201341783 260.030328614 258.797325744 268.576975755 -- 
2015-02-22_12-15-18 -- 246.542068725 253.118631963 257.919073382 264.030125044 243.983296147 261.641712827 259.379953504 258.197974116 269.483099077 -- 
2015-02-22_12-17-26 -- -- 249.029958896 255.625360659 263.905239561 239.397954719 261.13744116 258.647195619 257.827708878 269.350155437 -- 
2015-02-22_12-19-34 -- 242.216902684 251.833828357 257.812765421 263.901019567 243.011630652 261.443373234 259.259816819 258.113107769 268.851969688 -- 
2015-02-22_12-21-46 -- 233.407043859 246.134932899 253.698569996 263.599159467 236.149953275 260.63792312 256.752649202 254.830364935 268.562195259 -- 
2015-02-22_12-23-53 -- 233.993674129 246.304827201 254.227507306 263.384414719 234.651239208 260.44363121 257.647104911 256.366994585 268.096986366 -- 
2015-02-22_12-26-01 -- 232.325032274 246.3031097 254.571863746 263.765621898 235.594081996 260.207068675 256.069419014 254.37754588 268.484572102 -- 
2015-02-22_12-28-09 -- 243.756245905 252.637324647 258.349330479 264.580160587 244.646050893 262.183855581 259.345490869 258.020763495 269.32417483 -- 
2015-02-22_12-30-16 -- 233.044430209 245.958209337 254.008937791 263.662795369 235.705594996 260.227701995 256.771754583 254.962616205 269.616966575 -- 
2015-02-22_12-32-25 -- 235.908348059 248.423215895 255.367701186 263.632606287 237.002017512 260.469910321 256.237810892 254.056979563 268.462548154 -- 
2015-02-22_12-34-33 -- 229.378064731 246.160352556 254.52993642 263.70592926 235.562507085 260.484470775 256.732696924 253.902985001 268.58574576 -- 
2015-02-22_12-36-40 -- 229.970624917 244.968282504 253.768940895 263.603487026 235.593326671 260.698969669 256.775324014 254.168803386 268.364709832 -- 
2015-02-22_12-38-49 -- 223.861838837 241.456465152 250.721252467 263.41109896 -- 260.472333493 257.061319542 254.189201269 267.701485002 -- 
2015-02-22_12-40-56 -- 231.845992234 246.225995334 254.284915924 263.682998826 234.015508837 259.974770575 255.240516634 252.159052861 267.994012827 -- 
2015-02-22_12-43-03 -- 227.779059367 244.96759304 255.327960817 264.020467813 237.747331926 260.632991318 256.893707587 254.437497746 268.854636027 -- 
2015-02-22_12-45-11 -- 231.508967129 245.578777456 253.909267002 263.836170847 234.495610958 259.497792296 254.303794559 250.961513927 268.191645952 -- 
2015-02-22_12-47-20 -- 231.344614588 245.44603858 253.556865012 263.699104498 233.550929796 259.596765279 253.767811892 249.535130628 268.133443369 -- 
2015-02-22_12-49-28 -- 237.021633935 249.249790129 257.142809286 264.479685712 244.51485426 262.234913425 259.674600007 258.299257765 269.088489874 -- 
2015-02-22_12-51-36 -- 224.659039475 239.929052194 249.247865336 263.085132366 -- 260.840324215 259.444588648 257.838036327 268.639133495 -- 
2015-02-22_12-53-44 -- 238.985970264 249.540902311 256.252782649 264.3064626 240.75878864 261.787916746 258.984570802 256.86376218 267.937684948 -- 
2015-02-22_12-55-52 -- 232.365905227 246.006572114 254.794425458 263.983551118 233.137427273 259.718191249 254.175091188 249.509849887 268.510795096 -- 
2015-02-22_12-58-01 -- 226.411583596 243.935119281 253.294514895 263.725067269 236.536118564 261.180811915 257.891703779 255.810154601 269.100926788 -- 
2015-02-22_13-00-10 -- 220.46368065 240.062955912 250.480148957 263.565575803 228.25004878 258.525498186 252.234290896 249.497632474 268.469303313 -- 
2015-02-22_13-02-18 -- 232.961436748 246.985596992 254.982248845 264.048761583 235.372226432 260.008514208 255.478872226 252.253211029 268.026551285 -- 
2015-02-22_13-04-27 -- -- 236.251677299 249.201968647 263.279101351 229.04474902 259.256943361 253.670639717 250.182595524 268.064143254 -- 
2015-02-22_13-06-34 -- 212.758570328 234.142658482 246.066706612 263.054568292 221.53004346 257.346323444 250.776845033 245.877377726 267.655597058 -- 
2015-02-22_13-08-42 -- -- -- 248.8477296 263.485564735 225.222510998 257.94627193 250.431810148 245.033856896 268.862516535 -- 
2015-02-22_13-10-50 -- 221.106116139 239.564036542 249.914190393 263.694062359 227.305695034 258.445437224 250.617679756 244.608380491 268.565957509 -- 
2015-02-22_13-12-58 -- 208.705082681 233.910973176 246.663017235 263.122067891 227.263938867 259.393689242 255.565649096 252.573846551 266.880749288 -- 
2015-02-22_13-15-06 -- 232.037268289 246.967071515 255.17902247 264.112631922 237.952764361 260.926694483 256.101535283 250.832450238 267.903434401 -- 
2015-02-22_13-17-14 -- 240.201542008 250.77911936 257.200244589 264.497326251 240.353279626 261.336548032 258.055846847 257.400703654 269.065796569 -- 
2015-02-22_13-19-22 -- 243.277040449 253.713013581 259.38621046 264.736865308 248.508598129 263.016971147 260.81788874 260.033913572 268.872874031 -- 
2015-02-22_13-21-30 -- 250.505840191 256.218757543 260.335072359 265.158386865 248.755287941 263.330155783 261.270674585 259.915030593 270.242127456 -- 
2015-02-22_13-23-38 -- 249.026563848 256.048949334 260.391112629 265.166582132 251.417967716 263.547242009 261.659829216 260.739144196 269.762334345 -- 
2015-02-22_13-25-47 -- 254.656608832 257.942612619 261.161194641 265.433655225 254.8619257 263.521505359 261.724332653 260.667811007 269.273181279 -- 
2015-02-22_13-27-55 -- 254.757316991 257.960362227 260.901061159 265.060184033 253.301039059 263.728741847 261.814445553 260.399810229 269.480254349 -- 
2015-02-22_13-30-03 -- 254.436738075 257.804362513 260.732630565 265.205966747 255.761254414 263.631580451 262.027107842 261.034349514 269.939815847 -- 
2015-02-22_13-32-11 -- 251.894248328 256.494906928 260.146627068 265.100065479 250.524972944 263.323252258 261.20838391 259.814810724 269.128018839 -- 
2015-02-22_13-34-19 -- 250.420081518 255.019965332 258.796963539 264.231346154 246.96268572 262.352843099 259.705988063 258.289960652 268.33482752 -- 
