Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-02-22_10-17-57 -- -- -- -- -- -- 3.40699968512 -- -- -- -- 
2015-02-22_10-20-04 -- -- -- 2.43399419157 -- -- -- 2.99372708738 -- -- -- 
2015-02-22_10-22-11 -- -- 3.30226764457 2.60242148684 -- 1.38337995399 3.31445948183 3.00545921313 -- -- -- 
2015-02-22_10-24-19 -- 0.486722018678 3.26978181022 2.4463005929 4.83582606587 1.36925265996 3.39961800579 2.96683920075 4.01553267201 -- -- 
2015-02-22_10-26-27 -- 0.644153561546 3.5251449894 2.46060997874 4.84745120678 1.46274402141 3.38483678375 3.0112283867 4.11461877958 5.88378843837 -- 
2015-02-22_10-28-34 -- 2.49664580681 5.32992684647 2.85004027644 4.89730393384 2.22129137289 3.51880852639 3.31478770306 4.726526586 5.91773686417 -- 
2015-02-22_10-30-42 -- 2.63776142428 5.49998528876 2.90776395349 4.88694993096 2.40531479101 3.52487706749 3.32000665121 4.69261001059 5.88910025816 -- 
2015-02-22_10-32-50 -- 2.81369610678 5.45077952615 2.88814662411 4.88108393132 2.13736255968 3.49401753902 3.25107048724 4.61670703329 5.89792586783 -- 
2015-02-22_10-34-57 -- 2.23266287504 5.07371555059 2.79929527637 4.87397583696 1.94213563377 3.46032756379 3.16054478024 4.40165563562 5.92588452165 -- 
2015-02-22_10-37-05 -- 2.14758787361 5.12607601403 2.84755959731 4.88282135592 2.15641054122 3.4889735036 3.2392680178 4.58470799401 5.86987714788 -- 
2015-02-22_10-39-12 -- 2.01433086034 4.91209397417 2.78335253554 4.87578450368 2.07412176369 3.4786299146 3.25833842625 4.63516474966 5.85217850027 -- 
2015-02-22_10-41-22 -- 1.15161484729 3.98666931745 2.56013698471 4.85975874836 1.51985075965 3.37669531542 2.99469657794 4.05031140089 5.84376348522 -- 
2015-02-22_10-43-30 -- 1.26523680624 4.14469049164 2.59976714481 4.86044794953 1.66831213135 3.42698813721 3.12045260225 4.3653159326 5.9105624767 -- 
2015-02-22_10-45-38 -- 1.63367938176 4.5632597967 2.71809818751 4.87132095868 1.90595003449 3.46274538793 3.17959987574 4.45175893747 5.88053178823 -- 
2015-02-22_10-47-45 -- 1.7163916346 4.5990232449 2.67325815328 4.86103060747 1.78168804537 3.45889279721 3.19265736888 4.46401684483 5.85593848323 -- 
2015-02-22_10-49-53 -- 1.3248170714 4.2771018812 2.62582767471 4.84904477401 1.73869657711 3.42203562357 3.10405863388 4.29897213459 5.85891993643 -- 
2015-02-22_10-52-01 -- 1.202189565 4.06948656412 2.58043212521 4.852113355 1.60566973606 3.40366469467 3.03693702982 4.11958474161 5.86936068379 -- 
2015-02-22_10-54-09 -- 1.65152741394 4.57868360675 2.75880954533 4.89643527453 1.91737198164 3.49061330643 3.21559260377 4.47354240983 5.92659476048 -- 
