Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-07-02_20-34-39 -- 3.16440798687 7.80280753524 4.72878206342 6.53745047734 4.2001619036 5.46668335704 5.16783874834 7.9172379022 7.33454791862 -- 
2015-07-02_20-35-31 -- 2.54180178968 7.26990771834 4.6672636456 6.47920415679 4.03184701683 5.42877203567 5.12597572221 7.86757607511 7.25380601507 -- 
2015-07-02_20-36-41 -- -- -- 4.75847373807 6.45614597109 8.45800977521 5.41826182951 5.15957824605 8.02531868051 7.30236568597 -- 
2015-07-02_20-39-21 -- 7.93846364053 11.0987266731 4.79364702792 6.51022275316 8.41219744601 5.45485128822 5.1814354518 8.04123438621 7.38755474875 -- 
2015-07-02_20-39-55 -- -- -- 4.78470937682 6.48787237442 -- 5.43371116801 5.16624860474 8.04430934271 7.36792057868 -- 
2015-07-02_20-40-29 -- 9.39830370489 11.5620115678 4.79046307967 6.48233746787 -- 5.43017516242 5.14618426361 7.92197496001 7.29787658151 -- 
2015-07-02_20-43-46 -- 3.10673275383 7.68532018545 4.70051564203 6.47784798221 4.14623033822 5.43146938293 5.13318394587 8.01386322886 7.35188225829 -- 
2015-07-02_20-45-14 -- 2.46702093447 7.28502940567 4.66405160686 6.45621833217 4.23486678042 5.40036605348 5.10883443348 7.85778373231 7.28895604415 -- 
2015-07-02_20-46-24 -- 2.44146705621 7.25437550785 4.65786948676 6.44128183781 4.00163407291 5.40815002675 5.10461473565 7.84918487731 7.24149954934 -- 
2015-07-02_20-48-46 -- 2.41149295515 7.21393084515 4.65376661162 6.48509788646 4.0053045135 5.43818499956 5.13272449373 7.86790966635 7.28682352407 -- 
2015-07-02_20-49-37 -- 2.44960159278 7.2457541271 4.65689588757 6.47649492144 4.01519984373 5.41467982578 5.11050258832 7.85995719765 7.27794925037 -- 
2015-07-02_20-50-11 -- 2.57294095921 7.44391914511 4.66924481543 6.45799595137 4.11888688566 5.41793325074 5.12764746388 7.87523947731 7.28894380382 -- 
2015-07-02_20-52-33 -- 2.46478639166 7.28636249037 4.66695193481 6.48487597221 4.03211141339 5.42462937965 5.1196733109 7.85335577039 7.31055142491 -- 
2015-07-02_20-53-25 -- 2.42535115683 7.2283336199 4.66652570599 6.48590158949 4.0271696792 5.4226779751 5.13539868767 7.87470850425 7.24679578682 -- 
2015-07-02_20-53-58 -- 2.49407800605 7.29836807011 4.66766922945 6.48231291841 4.03983128227 5.42136588554 5.128473743 7.85441969482 7.28497562934 -- 
2015-07-02_20-57-51 -- 2.51035420008 7.3292947017 4.71023949184 6.50035222998 4.04357103592 5.4324868196 5.1411285878 7.8899903115 7.29004266814 -- 
2015-07-02_20-58-43 -- 2.50658328462 7.33133628552 4.67863210556 6.48244890984 4.05282616777 5.43027819062 5.12615646607 7.85822969831 7.28587437636 -- 
2015-07-02_20-59-34 -- 2.4556869367 7.26965959259 4.6654952232 6.46199129327 4.02099665066 5.41605745467 5.11805608342 7.86201233388 7.24173265482 -- 
2015-07-02_21-01-56 -- 2.46495758629 7.27520997408 4.67415055868 6.4746381691 4.02283264354 5.42006569055 5.12177240921 7.87185023117 7.28727426532 -- 
2015-07-02_21-02-48 -- 3.25078281735 8.13483943913 4.71100766942 6.47183834472 4.67967837418 5.41737718016 5.13138205266 7.90924895282 7.27509825284 -- 
2015-07-02_21-03-22 -- 2.84454032093 7.48033304721 4.68809426235 6.48129396665 4.05015833539 5.41820874564 5.12609345753 7.87482831209 7.27016192995 -- 
2015-07-02_21-06-02 -- -- -- 4.76949074035 6.50068945937 5.56803909001 5.44463010802 5.15046690508 7.94113622251 7.34924969892 -- 
2015-07-02_21-06-35 -- 3.15228822167 7.84152660676 4.70457504358 6.49774025646 4.36804533041 5.44555489824 5.1442631867 7.91423087378 7.34308133003 -- 
2015-07-02_21-07-28 -- -- 8.96678803301 4.74659391101 6.50607258854 5.33174108362 5.44008844981 5.15413812892 7.95000285925 7.33926960581 -- 
2015-07-02_21-10-26 -- -- -- 4.77079843435 6.51058449584 5.23425434371 5.45452901265 5.15966393246 7.96701910597 7.34751987872 -- 
2015-07-02_21-11-18 -- 5.82602833861 9.79660864529 4.78747037462 6.52943839648 5.90957965533 5.47193201784 5.17756288654 7.99369000262 7.34471603816 -- 
2015-07-02_21-11-51 -- 4.21351015553 8.56671426544 4.7281458005 6.48383144505 4.70700687133 5.43100929058 5.13925587565 7.92622629878 7.2510329991 -- 
2015-07-02_21-13-56 -- -- 11.7436513582 4.80684899899 6.4887376638 9.79060428096 5.43473768077 5.17167915598 8.03203711393 7.3079902423 -- 
2015-07-02_21-14-48 -- 10.0377415016 11.8689137094 4.802970302 6.48747943781 10.0228949816 5.44483774215 5.19346829358 8.0586356288 7.3605316851 -- 
2015-07-02_21-15-22 -- 10.0854119947 11.9046682247 4.81532042145 6.48858984725 9.61287633738 5.4432013708 5.18612103116 7.92770175702 7.24550327992 -- 
2015-07-02_21-18-37 -- 2.62112518535 7.45819969648 4.72889676296 6.51030908482 4.16463703234 5.45292655886 5.16782538901 7.92957053398 7.28054008511 -- 
2015-07-02_21-19-11 -- 2.5768232178 7.40437090379 4.70702539825 6.50777831326 4.11542721152 5.4472237928 5.15356606629 7.90686055577 7.24321742968 -- 
2015-07-02_21-20-03 -- 2.56969963166 7.40002283465 4.70101668584 6.48356955734 4.14377765983 5.43524541785 5.13391744773 7.90172327944 7.27952404891 -- 
2015-07-02_21-23-01 -- 2.46469212757 7.28013528897 4.68292277733 6.49672610773 4.0517766673 5.44342339444 5.14141521288 7.89346881994 7.30024381841 -- 
2015-07-02_21-23-53 -- 2.47219478174 7.29768070539 4.68738090254 6.49445688481 4.06298423406 5.43603100101 5.13390019869 7.89841542167 7.2915681173 -- 
2015-07-02_21-24-45 -- 2.46265267316 7.30842478664 4.68424742623 6.49672895786 4.04788440527 5.42581299954 5.12489417836 7.87505033312 7.21741681758 -- 
2015-07-02_21-27-43 -- 2.44336499811 7.26787506498 4.68569464614 6.48667287989 4.04150233284 5.43614090179 5.1367066877 7.86730052431 7.2606647497 -- 
2015-07-02_21-28-17 -- 2.40763828986 7.21398894259 4.67299658433 6.46609903494 4.00975018642 5.41334519313 5.11540171617 7.84204998018 7.23515049335 -- 
2015-07-02_21-28-51 -- 2.41749217511 7.26909092427 4.6712994316 6.44613157593 4.43881721006 5.4106870014 5.12968647475 7.93527740932 7.27662032704 -- 
2015-07-02_21-31-12 -- 2.41544104942 7.26600135186 4.68944864945 6.47791978844 4.04509844733 5.43420370198 5.13301014127 7.86490297846 7.26095545711 -- 
2015-07-02_21-32-04 -- 3.21211466373 7.89847917867 4.69739163158 6.46553161517 4.28022960145 5.43107930636 5.1335040976 7.87962803388 7.29829546764 -- 
2015-07-02_21-33-31 -- -- 10.6233754536 4.77078388043 6.44577620773 6.83257279429 5.41302358897 5.14409771851 7.98183743395 7.28983134142 -- 
2015-07-02_21-36-11 -- 2.51931639955 7.32877391726 4.69957080853 6.49361722485 4.09006650063 5.44488097099 5.13576953173 7.89440491342 7.32261669191 -- 
2015-07-02_21-37-03 -- -- -- 4.73524702939 6.49265667966 -- 5.43391057072 5.16165059633 8.01547831679 7.37696606703 -- 
2015-07-02_21-37-54 -- 9.47984756833 11.7753531716 4.80258282533 6.49535720544 -- 5.43329955008 5.1544953273 7.9915444976 7.32057949798 -- 
2015-07-02_21-39-58 -- 2.55861169203 7.37924341882 4.69894440258 6.49864040627 4.10694456911 5.42332834653 5.12570522034 7.88582551636 7.30988263801 -- 
2015-07-02_21-40-31 -- 2.54762968977 7.35823799039 4.6867884821 6.46558155188 4.09703859467 5.41074553549 5.12349637915 7.88345461836 7.29692823335 -- 
2015-07-02_21-41-05 -- 2.6654690241 7.54037015588 4.6950787166 6.46429126863 4.20475888253 5.41209904973 5.12878642054 7.90905004549 7.29193076368 -- 
2015-07-02_21-44-22 -- 2.57915668442 7.39513307111 4.69713785947 6.48475794874 4.10685571902 5.42686854759 5.13965924199 7.90216684856 7.28588108224 -- 
2015-07-02_21-45-14 -- 2.70997679995 7.46992967191 4.69243332228 6.45848911448 4.12519508504 5.41825520338 5.13147790149 7.93664697554 7.30541502682 -- 
2015-07-02_21-46-06 -- 9.92047691969 11.8655535822 4.79649426269 6.46398697263 9.24493704243 5.40907092849 5.15141292089 8.03740463538 7.32563872542 -- 
2015-07-02_21-49-03 -- 2.58394680175 7.44065555881 4.69810783741 6.4775103366 4.12569382792 5.42491630343 5.13310991587 7.91265180524 7.27956250577 -- 
2015-07-02_21-49-37 -- 2.58570866106 7.44088447747 4.6922442042 6.46484464916 4.12316518645 5.40794020401 5.12777204455 7.9107225877 7.26207281924 -- 
2015-07-02_21-50-11 -- -- -- 4.79664572817 6.47473651443 9.76549082086 5.41719953934 5.1680464546 8.04862245871 7.32931656928 -- 
2015-07-02_21-52-34 -- 9.9890904109 11.8460366515 4.81825019345 6.49149717174 9.89003273917 5.44734991592 5.18513694291 8.06059436594 7.40629889882 -- 
2015-07-02_21-53-25 -- -- 7.38379659452 4.69355820966 6.48436132939 4.07421005734 5.44236887089 5.14826282142 7.91139902066 7.34014491174 -- 
2015-07-02_21-53-58 -- 2.49908655847 7.2962914884 4.68234776675 6.47802183594 4.07446787666 5.43209224527 5.13185770384 7.88713428155 7.34241050544 -- 
2015-07-02_21-56-21 -- 2.54340447335 7.34759390694 4.6973241723 6.47836658927 4.07397167067 5.4244407852 5.13239139033 7.88239655258 7.28560571334 -- 
2015-07-02_21-56-55 -- 2.52097756147 7.32139480805 4.67985748305 6.47120664088 4.06741222774 5.41966550653 5.12730917894 7.87397692736 7.28633390446 -- 
2015-07-02_21-57-47 -- 2.49410627999 7.31072139805 4.68225496749 6.47279466069 4.0628342023 5.42109280727 5.12709065045 7.87070603849 7.22885987316 -- 
2015-07-02_22-00-28 -- 2.48686781606 7.30303299511 4.6863083413 6.48123290661 4.06780193465 5.43743998002 5.14113783987 7.87928042491 7.25845391805 -- 
