Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-07-02_20-34-39 -- 222.757762807 256.066780694 289.404768423 295.736992491 243.613069756 294.5434106 292.469333459 289.803365725 296.71277602 -- 
2015-07-02_20-35-31 -- 214.615705968 252.016200171 288.149703608 294.582622916 242.107769232 293.726571912 291.609968591 289.164216078 294.909330878 -- 
2015-07-02_20-36-41 -- -- -- 290.008790887 294.124707278 272.366038123 293.500018115 292.300199218 291.188986008 295.994403397 -- 
2015-07-02_20-39-21 -- 264.7568676 278.269716576 290.721241259 295.197635333 272.119395682 294.28872584 292.747726712 291.392157774 297.894132301 -- 
2015-07-02_20-39-55 -- -- -- 290.540205226 294.754489541 -- 293.833037871 292.43677518 291.431411097 297.45667935 -- 
2015-07-02_20-40-29 -- 274.197840644 281.089082216 290.656748994 294.644747753 -- 293.75681715 292.025298267 289.864331843 295.894183305 -- 
2015-07-02_20-43-46 -- 222.052456824 255.187567584 288.82943615 294.55573375 243.136035789 293.78471485 291.758113335 291.042562671 297.099172339 -- 
2015-07-02_20-45-14 -- 213.55064846 252.13395839 288.084043572 294.126145536 243.91785589 293.113657519 291.257677659 289.038188245 295.695030648 -- 
2015-07-02_20-46-24 -- 213.183017573 251.895245054 287.95766956 293.829265854 241.830560948 293.281959604 291.17095365 288.927520647 294.634160862 -- 
2015-07-02_20-48-46 -- 212.74506949 251.58028738 287.873799175 294.699479169 241.86423779 293.929473993 291.74867059 289.16850941 295.647421741 -- 
2015-07-02_20-49-37 -- 213.301465352 251.828107146 287.937767385 294.528906321 241.955028927 293.422805876 291.291961886 289.066160829 295.4491686 -- 
2015-07-02_20-50-11 -- 215.051939811 253.357474471 288.190202397 294.161477724 242.890614525 293.492935403 291.644326535 289.262844362 295.694757381 -- 
2015-07-02_20-52-33 -- 213.518683399 252.144339618 288.14333166 294.695079227 242.11019511 293.637274477 291.48044027 288.981200203 296.177151542 -- 
2015-07-02_20-53-25 -- 212.947550053 251.692447159 288.134618752 294.715414363 242.064853959 293.595210782 291.803631118 289.256010718 294.752583631 -- 
2015-07-02_20-53-58 -- 213.937698976 252.237255114 288.157994494 294.644261005 242.181026063 293.566927904 291.661308376 288.994892952 295.606167147 -- 
2015-07-02_20-57-51 -- 214.170529394 252.475420435 289.027465251 295.001930336 242.214616826 293.806646307 291.921393084 289.452688172 295.719289731 -- 
2015-07-02_20-58-43 -- 214.116586573 252.491142628 288.382096036 294.646957337 242.297686297 293.759037985 291.613683273 289.043927845 295.626231841 -- 
2015-07-02_20-59-34 -- 213.388515996 252.014267923 288.113553771 294.240889653 242.008215498 293.452501493 291.447202712 289.092610512 294.639373052 -- 
2015-07-02_21-01-56 -- 213.521132332 252.057490814 288.290484897 294.492092091 242.025061007 293.538901422 291.523581326 289.219224633 295.657484623 -- 
2015-07-02_21-02-48 -- 223.800729601 258.513031323 289.043096084 294.436579368 247.681833584 293.480948968 291.721080493 289.700547635 295.385420888 -- 
2015-07-02_21-03-22 -- 218.724337396 253.63482103 288.575520088 294.624058028 242.273741157 293.498873861 291.612388309 289.25755265 295.275045734 -- 
2015-07-02_21-06-02 -- -- -- 290.231945087 295.008616656 254.487394902 294.068402171 292.113315906 290.110392878 297.040490481 -- 
2015-07-02_21-06-35 -- 222.610038667 256.355357072 288.912205386 294.950142172 245.072920668 294.088336579 291.985815939 289.764665152 296.902992597 -- 
2015-07-02_21-07-28 -- -- 264.409106611 289.767202866 295.115349122 252.755375424 293.970504005 292.188767576 290.224039945 296.81802621 -- 
2015-07-02_21-10-26 -- -- -- 290.258433001 295.204807684 252.027182869 294.281778997 292.301953652 290.442143673 297.001931403 -- 
2015-07-02_21-11-18 -- 249.005807269 269.996366555 290.596130445 295.578522469 256.897038038 294.656206732 292.668435725 290.783994732 296.939431551 -- 
2015-07-02_21-11-51 -- 234.362174634 261.612547295 289.391821782 294.674369161 247.903515639 293.774797283 291.882904758 289.919046738 294.847326817 -- 
2015-07-02_21-13-56 -- -- 282.177668688 290.988652958 294.771645821 279.190114472 293.85516497 292.547966017 291.274750096 296.119972664 -- 
2015-07-02_21-14-48 -- 278.058277748 282.922319606 290.910088254 294.746698703 280.313977784 294.07287785 292.994099811 291.614293144 297.291974992 -- 
2015-07-02_21-15-22 -- 278.339944721 283.134824784 291.159925799 294.768715031 278.317592401 294.037604884 292.843664208 289.938035943 294.723683446 -- 
2015-07-02_21-18-37 -- 215.7224394 253.466242319 289.407102323 295.19934705 243.301082243 294.247237145 292.469059925 289.962087176 295.507099126 -- 
2015-07-02_21-19-11 -- 215.106327022 253.053580644 288.962065061 295.149168895 242.859562206 294.124310602 292.177010439 289.669808872 294.67257231 -- 
2015-07-02_21-20-03 -- 215.00653151 253.020096258 288.839678416 294.669176657 243.114021764 293.866109547 291.773188401 289.603691926 295.484380767 -- 
2015-07-02_21-23-01 -- 213.517334954 252.095846078 288.469805333 294.930034426 242.288266502 294.042390737 291.927283855 289.497456711 295.947032309 -- 
2015-07-02_21-23-53 -- 213.624660174 252.231961733 288.560937689 294.885042053 242.38886006 293.883043263 291.772833896 289.561119668 295.753345667 -- 
2015-07-02_21-24-45 -- 213.488160626 252.314701671 288.496883616 294.930090936 242.253331489 293.662788114 291.587740502 289.260410069 294.095164855 -- 
2015-07-02_21-27-43 -- 213.21074818 252.000371141 288.526467477 294.730706904 242.196049173 293.88541224 291.830513376 289.160669728 295.062690758 -- 
2015-07-02_21-28-17 -- 212.688749426 251.580739806 288.266895519 294.322535655 241.905027505 293.394037069 291.392649666 288.835567701 294.49219729 -- 
2015-07-02_21-28-51 -- 212.832723391 252.009839491 288.232202566 293.925659873 245.67774075 293.336738152 291.686232663 290.035298234 295.41945415 -- 
2015-07-02_21-31-12 -- 212.802754633 251.985779838 288.603206275 294.557157468 242.228326113 293.843654736 291.754541271 289.12981322 295.069190915 -- 
2015-07-02_21-32-04 -- 223.338251383 256.778260938 288.765575576 294.311257547 244.316242518 293.776306515 291.764693153 289.319325256 295.903535016 -- 
2015-07-02_21-33-31 -- -- 275.312947562 290.258138205 293.918596529 262.955455257 293.387104699 291.982415207 290.632075837 295.714571823 -- 
2015-07-02_21-36-11 -- 214.298733361 252.471409886 288.810121999 294.868393933 242.631937048 294.073809673 291.811252774 289.509504271 296.446510873 -- 
2015-07-02_21-37-03 -- -- -- 289.536317176 294.849348996 -- 293.837336116 292.342630705 291.06326387 297.658310532 -- 
2015-07-02_21-37-54 -- 274.698399125 282.366247219 290.902239744 294.902892904 -- 293.8241652 292.196108783 290.756494976 296.40103014 -- 
2015-07-02_21-39-58 -- 214.851198706 252.860074426 288.797317099 294.967989637 242.783426217 293.609229928 291.604409187 289.399087097 296.16222075 -- 
2015-07-02_21-40-31 -- 214.697349997 252.698312076 288.548827515 294.312250095 242.694515105 293.33799989 291.559012675 289.368573547 295.873011256 -- 
2015-07-02_21-41-05 -- 216.330972562 254.092093789 288.7182953 294.286604259 243.653441472 293.367175701 291.667734583 289.69798769 295.761441815 -- 
2015-07-02_21-44-22 -- 215.139016947 252.982440295 288.760388003 294.69273915 242.782628742 293.685541085 291.891194817 289.609400678 295.626381551 -- 
2015-07-02_21-45-14 -- 216.935206563 253.555583701 288.664218529 294.171279897 242.947233793 293.499875285 291.723050396 290.052852487 296.062480499 -- 
2015-07-02_21-46-06 -- 277.361153314 282.902348858 290.778913245 294.280556033 276.477775097 293.301870988 292.132758597 291.343269131 296.513978334 -- 
2015-07-02_21-49-03 -- 215.206122503 253.332617359 288.780216153 294.549039177 242.951710261 293.643459291 291.756591857 289.744342478 295.485240655 -- 
2015-07-02_21-49-37 -- 215.230804686 253.334360919 288.660352604 294.297603322 242.92901443 293.277422897 291.64688694 289.719513374 295.0941749 -- 
2015-07-02_21-50-11 -- -- -- 290.781981244 294.494042005 279.068031395 293.477119813 292.473586256 291.486470132 296.596086882 -- 
2015-07-02_21-52-34 -- 277.770816793 282.786350955 291.219002641 294.826359182 279.673462128 294.127029262 292.823514947 291.639297381 298.311313968 -- 
2015-07-02_21-53-25 -- -- 252.895138333 288.687213315 294.684875293 242.48961748 294.019659849 292.068017171 289.728219092 296.837537481 -- 
2015-07-02_21-53-58 -- 214.009346153 252.221263404 288.458051049 294.559180785 242.491931539 293.798141021 291.730856164 289.415930956 296.888039379 -- 
2015-07-02_21-56-21 -- 214.638158232 252.616342219 288.764196584 294.566016284 242.48747784 293.633209211 291.741824588 289.354956199 295.620233889 -- 
2015-07-02_21-56-55 -- 214.322496228 252.414583525 288.407145027 294.424054439 242.428603535 293.530275215 291.63737404 289.246595295 295.636490892 -- 
