MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,14.999,0.001,55.100,0.004,55.118,0.003,54.974,0.004,55.002,0.004,28.080,0.006,28.074,0.006,28.076,0.006,28.076,0.006,25.776,0.021,26.513,0.021,25.650,0.021,25.698,0.021,25.802,0.021,28.540,0.016,23.426,0.056,27.649,0.234
1000,15.003,0.001,55.100,0.004,55.114,0.004,54.976,0.004,55.002,0.004,28.080,0.006,28.074,0.006,28.074,0.006,28.076,0.006,25.774,0.021,26.514,0.022,25.652,0.021,25.699,0.021,25.802,0.021,28.540,0.016,23.395,0.056,27.637,0.232
2000,15.001,0.001,55.100,0.004,55.118,0.004,54.974,0.004,55.000,0.004,28.080,0.006,28.074,0.006,28.076,0.006,28.076,0.006,25.775,0.021,26.515,0.022,25.652,0.021,25.699,0.021,25.803,0.021,28.539,0.016,23.445,0.056,27.649,0.229
3000,15.000,0.001,55.098,0.004,55.116,0.004,54.974,0.004,55.000,0.004,28.080,0.006,28.074,0.006,28.076,0.006,28.076,0.006,25.777,0.021,26.516,0.022,25.654,0.021,25.701,0.021,25.804,0.021,28.539,0.016,23.449,0.056,27.664,0.228
4000,15.000,0.001,55.100,0.004,55.116,0.003,54.976,0.004,55.002,0.004,28.082,0.006,28.074,0.006,28.076,0.006,28.076,0.006,25.777,0.021,26.517,0.022,25.653,0.021,25.700,0.021,25.804,0.021,28.538,0.016,23.446,0.056,27.689,0.226
5000,14.999,0.001,55.102,0.004,55.114,0.004,54.974,0.004,55.002,0.004,28.080,0.006,28.076,0.006,28.076,0.006,28.076,0.006,25.777,0.021,26.517,0.022,25.653,0.021,25.701,0.021,25.804,0.021,28.539,0.016,23.431,0.056,27.708,0.224
6000,14.999,0.001,55.102,0.004,55.118,0.003,54.974,0.004,55.002,0.004,28.082,0.006,28.076,0.006,28.076,0.006,28.076,0.006,25.778,0.021,26.517,0.022,25.654,0.021,25.701,0.021,25.806,0.021,28.539,0.016,23.407,0.056,27.688,0.223
7000,14.999,0.001,55.100,0.004,55.114,0.004,54.974,0.004,55.002,0.004,28.082,0.006,28.074,0.006,28.076,0.006,28.076,0.006,25.778,0.021,26.519,0.022,25.655,0.021,25.701,0.021,25.806,0.021,28.538,0.016,23.397,0.056,27.673,0.223
8000,14.999,0.001,55.100,0.004,55.118,0.003,54.976,0.004,55.002,0.004,28.082,0.006,28.076,0.006,28.076,0.006,28.078,0.006,25.780,0.021,26.519,0.022,25.655,0.021,25.702,0.021,25.806,0.021,28.539,0.016,23.377,0.056,27.662,0.223
9000,15.000,0.001,55.100,0.004,55.114,0.004,54.978,0.004,55.004,0.004,28.082,0.006,28.076,0.006,28.078,0.007,28.078,0.006,25.781,0.021,26.521,0.022,25.657,0.021,25.703,0.021,25.808,0.021,28.540,0.016,23.408,0.056,27.636,0.223
