MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,15.000,0.001,55.098,0.002,55.114,0.002,54.970,0.002,54.996,0.002,28.128,0.007,28.124,0.007,28.122,0.006,28.124,0.006,25.929,0.021,26.674,0.020,25.806,0.021,25.852,0.021,25.956,0.021,28.696,0.026,23.778,0.142,27.495,0.294
1000,15.000,0.001,55.102,0.002,55.112,0.002,54.966,0.002,54.994,0.002,28.128,0.007,28.122,0.007,28.124,0.006,28.124,0.006,25.929,0.021,26.674,0.020,25.806,0.021,25.852,0.021,25.956,0.021,28.696,0.026,23.778,0.142,27.495,0.294
2000,14.999,0.001,55.098,0.002,55.112,0.002,54.968,0.002,54.996,0.002,28.128,0.007,28.122,0.007,28.124,0.006,28.124,0.006,25.930,0.021,26.674,0.020,25.806,0.021,25.852,0.021,25.957,0.021,28.696,0.026,23.695,0.142,27.468,0.299
3000,15.000,0.001,55.100,0.002,55.114,0.002,54.970,0.002,54.996,0.002,28.130,0.007,28.124,0.007,28.122,0.006,28.124,0.006,25.931,0.021,26.674,0.020,25.806,0.021,25.853,0.021,25.957,0.021,28.697,0.026,23.708,0.142,27.472,0.304
4000,15.000,0.001,55.100,0.002,55.114,0.002,54.970,0.002,54.996,0.002,28.130,0.007,28.124,0.007,28.124,0.006,28.124,0.006,25.932,0.021,26.675,0.020,25.807,0.021,25.853,0.021,25.959,0.021,28.696,0.025,23.694,0.141,27.477,0.309
5000,15.000,0.001,55.102,0.002,55.112,0.002,54.968,0.002,54.996,0.002,28.130,0.007,28.124,0.007,28.124,0.006,28.124,0.006,25.933,0.021,26.676,0.020,25.808,0.021,25.855,0.021,25.958,0.021,28.695,0.025,23.703,0.141,27.491,0.312
6000,15.000,0.001,55.100,0.002,55.114,0.002,54.968,0.002,54.996,0.002,28.130,0.007,28.122,0.007,28.124,0.006,28.124,0.006,25.934,0.021,26.676,0.020,25.808,0.020,25.854,0.021,25.959,0.021,28.694,0.024,23.647,0.141,27.503,0.315
7000,15.001,0.001,55.102,0.003,55.112,0.002,54.970,0.002,54.998,0.002,28.130,0.007,28.124,0.007,28.124,0.006,28.124,0.006,25.933,0.021,26.677,0.020,25.810,0.021,25.856,0.021,25.960,0.021,28.694,0.024,23.634,0.140,27.523,0.316
8000,15.001,0.001,55.100,0.003,55.114,0.002,54.966,0.002,54.994,0.002,28.130,0.007,28.124,0.007,28.124,0.006,28.124,0.006,25.933,0.021,26.677,0.020,25.809,0.020,25.857,0.021,25.961,0.021,28.694,0.024,23.650,0.137,27.547,0.317
9000,15.000,0.001,55.100,0.003,55.114,0.002,54.968,0.002,54.996,0.002,28.130,0.007,28.124,0.007,28.126,0.006,28.126,0.006,25.935,0.021,26.678,0.020,25.811,0.021,25.857,0.021,25.961,0.021,28.695,0.023,23.679,0.136,27.584,0.316
10000,14.999,0.001,55.100,0.003,55.114,0.002,54.968,0.002,54.996,0.002,28.130,0.007,28.124,0.007,28.124,0.006,28.126,0.006,25.937,0.021,26.679,0.020,25.810,0.020,25.857,0.021,25.962,0.021,28.696,0.023,23.601,0.134,27.610,0.315
