MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,15.000,0.001,55.094,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.294,0.004,28.288,0.004,28.290,0.004,28.290,0.004,26.475,0.015,27.172,0.013,26.354,0.015,26.384,0.015,26.493,0.015,28.615,0.017,23.540,0.102,28.037,0.255
999,15.000,0.001,55.094,0.003,55.106,0.003,54.960,0.002,54.988,0.002,28.294,0.004,28.288,0.004,28.290,0.004,28.290,0.004,26.476,0.015,27.174,0.013,26.354,0.015,26.385,0.015,26.494,0.015,28.616,0.017,23.540,0.101,28.005,0.253
1999,15.000,0.001,55.092,0.003,55.106,0.003,54.962,0.002,54.990,0.002,28.294,0.004,28.290,0.004,28.290,0.004,28.290,0.004,26.476,0.015,27.175,0.013,26.354,0.015,26.386,0.015,26.494,0.015,28.617,0.017,23.518,0.100,27.972,0.249
3000,15.000,0.001,55.094,0.003,55.106,0.003,54.960,0.002,54.988,0.002,28.294,0.004,28.288,0.004,28.290,0.004,28.290,0.004,26.476,0.015,27.174,0.013,26.355,0.015,26.387,0.015,26.494,0.015,28.617,0.017,23.482,0.100,27.942,0.246
4000,15.000,0.001,55.092,0.003,55.106,0.003,54.960,0.002,54.988,0.002,28.294,0.004,28.288,0.004,28.290,0.004,28.290,0.004,26.476,0.015,27.175,0.013,26.355,0.015,26.388,0.015,26.496,0.015,28.619,0.017,23.520,0.101,27.910,0.242
5000,15.001,0.001,55.094,0.003,55.106,0.003,54.962,0.002,54.990,0.002,28.294,0.004,28.288,0.004,28.290,0.004,28.290,0.004,26.478,0.015,27.176,0.013,26.355,0.015,26.388,0.015,26.495,0.015,28.620,0.018,23.514,0.101,27.885,0.237
6000,15.003,0.001,55.094,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.294,0.004,28.290,0.004,28.290,0.004,28.290,0.004,26.477,0.015,27.176,0.013,26.356,0.015,26.387,0.015,26.496,0.015,28.621,0.018,23.654,0.101,27.870,0.232
7000,15.000,0.001,55.096,0.003,55.108,0.003,54.958,0.002,54.988,0.002,28.294,0.004,28.290,0.004,28.290,0.004,28.290,0.004,26.479,0.015,27.176,0.013,26.357,0.015,26.388,0.015,26.496,0.015,28.621,0.018,23.585,0.100,27.852,0.227
8000,15.000,0.001,55.094,0.003,55.106,0.003,54.960,0.002,54.988,0.002,28.294,0.004,28.290,0.004,28.290,0.004,28.290,0.004,26.479,0.015,27.178,0.013,26.357,0.015,26.389,0.015,26.497,0.015,28.625,0.018,23.528,0.100,27.840,0.222
9000,15.000,0.001,55.094,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.294,0.004,28.290,0.004,28.290,0.004,28.290,0.004,26.479,0.015,27.176,0.013,26.357,0.015,26.389,0.015,26.497,0.015,28.626,0.019,23.541,0.099,27.824,0.216
10000,15.000,0.001,55.094,0.003,55.106,0.003,54.962,0.002,54.990,0.002,28.294,0.004,28.290,0.004,28.290,0.004,28.290,0.004,26.480,0.015,27.177,0.013,26.358,0.015,26.390,0.015,26.497,0.015,28.626,0.019,23.541,0.098,27.820,0.210
11000,15.000,0.001,55.092,0.003,55.106,0.003,54.962,0.002,54.988,0.002,28.294,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.481,0.015,27.178,0.013,26.358,0.015,26.390,0.015,26.498,0.015,28.628,0.019,23.555,0.097,27.826,0.204
12000,15.001,0.001,55.094,0.003,55.106,0.003,54.960,0.002,54.988,0.002,28.294,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.480,0.015,27.179,0.013,26.359,0.015,26.390,0.015,26.499,0.015,28.630,0.019,23.527,0.097,27.887,0.197
13000,15.000,0.001,55.094,0.003,55.106,0.003,54.964,0.002,54.990,0.002,28.296,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.480,0.015,27.178,0.013,26.359,0.015,26.390,0.015,26.499,0.015,28.629,0.020,23.554,0.097,27.958,0.191
14000,15.000,0.001,55.094,0.003,55.106,0.003,54.960,0.002,54.988,0.002,28.294,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.482,0.015,27.179,0.013,26.360,0.015,26.391,0.015,26.499,0.015,28.629,0.020,23.565,0.097,28.006,0.184
15000,15.000,0.001,55.096,0.003,55.106,0.003,54.962,0.002,54.990,0.002,28.294,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.481,0.015,27.179,0.013,26.359,0.015,26.392,0.015,26.500,0.015,28.629,0.020,23.525,0.097,28.034,0.178
16000,14.999,0.001,55.096,0.003,55.104,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.483,0.015,27.180,0.013,26.360,0.015,26.392,0.015,26.500,0.015,28.628,0.021,23.561,0.096,28.055,0.174
17000,15.000,0.001,55.094,0.003,55.106,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.483,0.015,27.179,0.014,26.361,0.015,26.393,0.015,26.500,0.015,28.628,0.021,23.587,0.096,28.075,0.171
18000,15.000,0.001,55.094,0.003,55.106,0.003,54.964,0.002,54.992,0.002,28.296,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.483,0.015,27.181,0.014,26.361,0.015,26.393,0.015,26.502,0.015,28.627,0.021,23.630,0.096,28.089,0.170
19000,15.000,0.001,55.096,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.483,0.015,27.180,0.014,26.361,0.015,26.393,0.015,26.501,0.015,28.627,0.021,23.641,0.095,28.111,0.169
20000,15.001,0.001,55.094,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.483,0.014,27.180,0.014,26.362,0.015,26.393,0.015,26.502,0.015,28.627,0.021,23.624,0.095,28.116,0.169
21000,15.000,0.001,55.096,0.003,55.108,0.003,54.960,0.002,54.988,0.002,28.296,0.004,28.292,0.004,28.292,0.004,28.292,0.004,26.484,0.014,27.182,0.014,26.362,0.015,26.394,0.015,26.502,0.015,28.627,0.021,23.630,0.095,28.103,0.168
22000,15.000,0.001,55.096,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.290,0.004,28.292,0.004,28.292,0.004,26.485,0.015,27.182,0.014,26.363,0.015,26.394,0.015,26.503,0.015,28.627,0.022,23.605,0.094,28.093,0.167
23000,14.999,0.001,55.094,0.003,55.108,0.003,54.958,0.002,54.988,0.002,28.296,0.004,28.292,0.004,28.292,0.004,28.292,0.004,26.485,0.015,27.183,0.014,26.364,0.015,26.395,0.015,26.504,0.015,28.627,0.022,23.642,0.094,28.093,0.166
24000,14.999,0.001,55.096,0.003,55.108,0.003,54.960,0.002,54.988,0.002,28.296,0.004,28.292,0.004,28.292,0.004,28.292,0.004,26.485,0.015,27.184,0.014,26.363,0.015,26.395,0.015,26.503,0.015,28.626,0.022,23.632,0.094,28.102,0.165
25000,14.999,0.001,55.098,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.292,0.004,28.294,0.004,28.294,0.004,26.486,0.015,27.183,0.014,26.364,0.015,26.396,0.015,26.505,0.015,28.626,0.022,23.647,0.094,28.118,0.165
26000,15.000,0.001,55.096,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.290,0.004,28.294,0.004,28.294,0.004,26.487,0.015,27.184,0.014,26.363,0.015,26.396,0.015,26.504,0.015,28.626,0.022,23.707,0.095,28.130,0.167
27000,15.000,0.001,55.098,0.003,55.106,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.292,0.004,28.292,0.004,28.292,0.004,26.486,0.014,27.184,0.014,26.365,0.015,26.396,0.015,26.505,0.015,28.625,0.022,23.738,0.096,28.144,0.169
28000,15.000,0.001,55.094,0.003,55.106,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.292,0.004,28.292,0.004,28.294,0.004,26.486,0.014,27.185,0.014,26.365,0.015,26.396,0.015,26.505,0.015,28.624,0.022,23.828,0.098,28.155,0.172
29000,15.000,0.001,55.094,0.003,55.108,0.003,54.964,0.002,54.992,0.002,28.296,0.004,28.292,0.004,28.294,0.004,28.294,0.004,26.487,0.014,27.183,0.014,26.366,0.015,26.397,0.015,26.506,0.015,28.625,0.022,23.779,0.100,28.162,0.176
30000,15.000,0.001,55.094,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.292,0.004,28.294,0.004,28.294,0.004,26.488,0.014,27.186,0.014,26.367,0.015,26.397,0.015,26.506,0.015,28.626,0.022,23.750,0.101,28.175,0.180
31001,14.999,0.001,55.096,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.298,0.004,28.292,0.004,28.294,0.004,28.294,0.004,26.488,0.014,27.186,0.014,26.368,0.015,26.399,0.015,26.507,0.015,28.627,0.022,23.684,0.101,28.182,0.183
32001,14.999,0.001,55.096,0.003,55.108,0.003,54.960,0.002,54.988,0.002,28.298,0.004,28.292,0.004,28.294,0.004,28.294,0.004,26.489,0.014,27.186,0.014,26.366,0.015,26.399,0.015,26.506,0.015,28.628,0.022,23.634,0.100,28.204,0.186
33001,15.002,0.001,55.096,0.003,55.106,0.003,54.964,0.002,54.990,0.002,28.298,0.004,28.292,0.004,28.294,0.004,28.294,0.004,26.490,0.014,27.185,0.014,26.367,0.015,26.399,0.015,26.508,0.015,28.629,0.022,24.023,0.106,28.235,0.190
34001,15.001,0.001,55.094,0.003,55.108,0.003,54.962,0.002,54.990,0.002,28.298,0.004,28.292,0.004,28.294,0.004,28.294,0.004,26.491,0.014,27.186,0.014,26.367,0.015,26.400,0.015,26.508,0.015,28.629,0.022,23.539,0.105,28.259,0.195
35001,15.001,0.001,55.096,0.003,55.110,0.003,54.962,0.002,54.990,0.002,28.296,0.004,28.292,0.004,28.294,0.004,28.294,0.004,26.490,0.014,27.186,0.014,26.368,0.015,26.400,0.015,26.509,0.015,28.631,0.022,23.609,0.104,28.277,0.199
36001,15.001,0.001,55.096,0.003,55.110,0.003,54.964,0.002,54.992,0.002,28.298,0.004,28.292,0.004,28.294,0.004,28.294,0.004,26.490,0.014,27.188,0.014,26.369,0.015,26.401,0.015,26.509,0.015,28.631,0.022,23.616,0.102,28.285,0.204
